team_name_2	wealth_score
São Paulo Futebol Clube	3,4
Sport Club Corinthians Paulista	2,3
Clube Atlético Mineiro	1,9
Santos FC	1,6
Cruzeiro Esporte Clube	1,5
Fluminense Football Club	1,4
Grêmio Foot-Ball Porto Alegrense	1,1
Clube de Regatas do Flamengo	1,1
Botafogo de Futebol e Regatas	0,9
Sociedade Esportiva Palmeiras	0,7
Sport Club Internacional	0,7
Coritiba Foot Ball Club	0,6
Esporte Clube Bahia	0,6
Criciúma Esporte Clube	0,5
Esporte Clube Vitória	0,5
Club Athletico Paranaense	0,3
Sport Club do Recife	0,3
Figueirense Futebol Clube	0,2
Associação Chapecoense de Futebol	0,2
Goiás Esporte Clube	0,2
