round_num,player_id,player_name,player_nickname,position,team_id,G,A,FT,FD,FF,FS,PP,I,PE,SG,DP,DD,RB,GC,CV,CA,GS,FC,total_score,current_price,price_delta
15,38162,Frederico Chaves Guedes,Fred,ATA,282.0,0,0,0,0,1,1,0,0,7,0,0,0,1,0,0,0,0,2,-0.2,18.51,-0.38
15,38140,Fernando Buttenbender Prass,Fernando Prass,GOL,275.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5.0,14.83,1.36
15,73580,,Falcão,TEC,285.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.55,9.11,-1.87
15,37792,Edimo Ferreira Campos,Edinho,MEI,294.0,0,0,0,1,1,0,0,0,3,0,0,0,2,0,0,1,0,1,1.7,2.41,-0.74
15,50294,Guilherme Milhomem Gusmão,Guilherme,MEI,264.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1.4,13.21,0.15
15,50301,Everton Cardoso da Silva,Everton,MEI,262.0,1,2,0,0,1,1,0,0,3,0,0,0,1,0,0,1,0,4,16.0,14.76,3.17
15,50313,Elicarlos Souza Santos,Elicarlos,MEI,316.0,0,0,0,0,0,4,0,0,4,0,0,0,2,0,0,0,0,0,4.2,8.26,0.76
15,50295,,Felipe Menezes,MEI,303.0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,-1.2,3.69,-0.53
15,68725,,Diego Renan,LAT,287.0,1,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,1,7.3,13.31,0.15
15,68698,Bruno César Pereira da Silva,Bruno Silva,MEI,263.0,0,0,0,1,0,1,0,0,2,0,0,0,3,0,0,0,0,1,5.5,8.6,0.23
15,70622,,Paulo Bento,TEC,283.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.83,5.85,0.09
15,70759,,Martinuccio,MEI,315.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.5,2.29,-0.13
15,70916,Diogo Barbosa Mendanha,Diogo Barbosa,LAT,263.0,1,0,0,0,0,1,0,0,5,0,0,0,1,0,0,0,0,0,8.7,6.34,1.13
15,80318,Ezequiel Jacinto de Biasi,Ezequiel ,LAT,283.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.5,2.18,-0.82
15,91094,,Ábila,ATA,283.0,0,0,0,2,1,1,0,0,2,0,0,0,0,0,0,0,0,0,2.6,7.95,-1.05
15,36540,Juan Silveira dos Santos,Juan,ZAG,262.0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1.1,11.32,-1.63
15,37613,,Dagoberto,ATA,287.0,0,0,0,2,2,2,0,1,0,0,0,0,0,0,0,0,0,0,3.9,6.91,0.16
15,37770,Marcelo Grohe,Marcelo Grohe,GOL,284.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,-5.0,10.16,-0.76
15,37851,Maicosuel Reginaldo de Matos,Maicosuel,MEI,282.0,0,0,0,1,0,2,0,0,3,0,0,0,2,0,0,0,0,0,4.5,7.84,1.08
15,38021,,Wendel,MEI,303.0,0,0,0,0,0,3,0,0,1,0,0,0,3,0,0,1,0,2,3.3,6.43,0.43
15,38246,,Robinho,ATA,282.0,2,0,0,0,1,3,0,4,8,0,0,0,1,0,0,0,0,1,15.0,22.72,3.57
15,70874,Rhayner Santos Nascimento,Rhayner,ATA,303.0,0,1,0,0,0,3,0,0,4,0,0,0,1,0,0,0,0,1,6.5,4.08,0.83
15,68697,,Bernardo,MEI,294.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.5,4.98,-1.02
