round_num,player_id,player_name,player_nickname,position,team_id,G,A,FT,FD,FF,FS,PP,I,PE,SG,DP,DD,RB,GC,CV,CA,GS,FC,total_score,current_price,price_delta
31,38062,,Lugano,ZAG,276.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-2.0,9.47,-1.02
31,38162,Frederico Chaves Guedes,Fred,ATA,282.0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,1,7.0,19.31,0.3
31,37792,Edimo Ferreira Campos,Edinho,MEI,294.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0.9,2.11,0.2
31,50294,Guilherme Milhomem Gusmão,Guilherme,MEI,264.0,0,2,0,0,1,4,0,0,5,0,0,0,0,0,0,0,0,2,10.2,13.66,-0.64
31,50301,Everton Cardoso da Silva,Everton,MEI,262.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2.2,12.29,0.4
31,50317,David Braz de Oliveira Filho,David Braz,ZAG,277.0,0,0,0,0,0,0,0,0,6,0,0,0,2,0,0,0,0,1,1.1,7.17,-0.43
31,68698,Bruno César Pereira da Silva,Bruno Silva,MEI,263.0,1,0,0,0,1,1,0,0,2,0,0,0,2,0,0,1,0,2,9.0,8.73,1.05
31,63158,Moisés Lima Magalhães,Moisés,MEI,275.0,0,0,0,0,1,2,0,0,2,0,0,0,1,0,0,0,0,1,2.3,9.22,0.58
31,93697,,Gervasio Núñez,MEI,263.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.7,3.14,0.22
31,91094,,Ábila,ATA,283.0,0,0,1,0,0,1,1,2,0,0,0,0,2,0,0,0,0,0,2.9,10.04,0.88
31,73421,Rafael Vaz dos Santos,Rafael Vaz,ZAG,262.0,0,0,0,1,1,1,0,0,3,0,0,0,1,0,0,0,0,1,2.5,10.45,0.41
31,38021,,Wendel,MEI,303.0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1.6,7.42,-0.67
31,38219,,Alex,MEI,285.0,0,0,0,0,0,2,0,0,4,0,0,0,2,0,0,1,0,3,-0.3,3.99,-0.49
31,38246,,Robinho,ATA,282.0,0,1,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,6.1,21.31,1.35
31,50407,,Marquinho,MEI,266.0,0,0,0,1,0,1,0,0,2,0,0,0,1,0,0,0,0,2,1.6,6.84,0.17
31,70874,Rhayner Santos Nascimento,Rhayner,ATA,303.0,0,0,0,0,0,3,0,0,3,0,0,0,1,0,0,0,0,3,0.8,4.62,-1.22
31,68685,,Alan Patrick,MEI,262.0,0,0,0,1,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0.6,10.96,0.16
31,63172,Paulo Marcos de Jesus Ribeiro,Paulão,ZAG,285.0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,3,-1.6,6.98,-0.02
31,68950,Ronaldo Luiz Alves,Ronaldo Alves,ZAG,292.0,0,0,0,0,2,2,0,0,2,1,0,0,0,0,0,0,0,0,6.8,6.76,1.22
31,81881,João Ricardo Riedi,João Ricardo,GOL,327.0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,2.0,5.52,-0.5
31,81898,Osman de Menezes Venâncio Junior,Osman,MEI,327.0,0,0,0,1,2,0,0,2,4,0,0,0,1,0,0,0,0,1,1.4,7.72,-0.72
31,42411,Alexi Stival,Cuca,TEC,275.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.96,13.99,-0.23
31,92497,Douglas Augusto Soares Gomes,Douglas,MEI,266.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-1.0,5.41,-0.9
31,68987,,João Vitor,MEI,303.0,0,0,0,0,0,4,0,0,4,0,0,0,4,0,0,0,0,3,6.1,4.33,1.9
31,69033,,Tony,MEI,327.0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,1,0,2,-1.9,5.07,-0.13
31,89154,,Gabriel Jesus,ATA,275.0,0,0,0,1,0,1,0,0,5,0,0,0,0,0,0,1,0,2,-3.0,26.29,-0.16
31,87192,José Carlos Cracco Neto,Zeca,LAT,277.0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,1,-1.6,9.33,-0.61
31,78445,Renê Rodrigues Martins,Renê,LAT,292.0,0,0,0,0,0,1,0,0,2,1,0,0,1,0,0,0,0,0,6.6,11.93,0.33
31,87887,Fabián Cornelio Balbuena González,Balbuena,ZAG,264.0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,4.7,4.65,0.37
31,87999,Gustavo Henrique Furtado Scarpa,Gustavo Scarpa,MEI,266.0,0,0,0,2,3,2,0,0,5,0,0,0,1,0,0,0,0,1,4.8,15.26,0.63
31,88065,Jorge Marco de Oliveira Moraes,Jorge,LAT,262.0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0.8,18.9,-0.75
31,88087,Ramon Menezes Roma,Ramon,ZAG,287.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,4.36,0.03
31,78500,,Sérgio Manoel,MEI,315.0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,-1.7,2.6,0.23
31,89637,,Thiago Maia,MEI,277.0,0,0,0,0,1,2,0,0,1,0,0,0,3,0,0,0,0,0,6.5,5.7,0.42
31,90569,Yuri Oliveira Lima,Yuri,MEI,277.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1.4,2.63,0.31
31,91714,,Marciel,MEI,264.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-0.3,2.03,-0.25
31,87482,,Gimenez,LAT,315.0,0,0,0,0,1,0,0,0,3,1,0,0,0,0,0,0,0,2,3.8,5.66,-0.52
31,87402,Messias Rodrigues da Silva Júnior,Messias,ZAG,327.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,-0.1,0.81,-0.25
31,87552,Vitor Frezarin Bueno,Vitor Bueno,MEI,277.0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4.2,14.19,-0.28
31,87742,Antônio Francisco Moura Neto,Neto Moura,MEI,292.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2.36,-0.26
31,72490,,Fred,ZAG,284.0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,2,-0.6,11.13,-1.5
31,89898,Róger Krug Guedes,Róger Guedes,ATA,275.0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,2,0.2,10.79,0.03
31,80129,Jadson Alves dos Santos,Jadson,MEI,344.0,0,0,0,0,1,1,0,0,3,0,0,0,1,0,0,0,0,3,0.5,2.37,-0.23
31,88002,Sergio Antonio Soler de Oliveira Junior,Serginho,MEI,287.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2.54,0.01
31,68744,Márcio Passos de Albuquerque,Emerson,ATA,262.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.7,1.56,0.47
31,68758,,Fernandinho,ATA,262.0,0,0,0,0,0,2,0,0,2,0,0,0,2,0,0,0,0,4,1.8,7.25,-1.01
31,68928,Rafael Pires Monteiro,Rafael,GOL,283.0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,7.4,5.67,0.05
31,68887,Welington Pereira Rodrigues,Gum,ZAG,266.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,-0.9,13.29,0.01
31,68808,Severino do Ramo Clementino da Silva,Nino Paraíba,LAT,303.0,0,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,0,0,5.4,6.19,-0.65
31,68834,Francisco Rithely da Silva Sousa,Rithely,MEI,292.0,0,0,0,2,1,1,0,0,5,0,0,0,1,0,0,0,0,0,3.4,9.98,0.66
31,88323,Ángel Rodrigo Romero Villamayor,Ángel Romero,ATA,264.0,1,0,0,0,0,0,0,3,4,0,0,0,2,0,0,0,0,1,8.2,11.06,1.86
31,78548,Jean Mota Oliveira de Sousa,Jean Mota,MEI,277.0,0,0,0,0,0,0,0,0,7,0,0,0,1,0,0,0,0,2,-1.4,4.52,-0.22
31,82411,Christian Alberto Cueva Bravo,Cueva,ATA,276.0,0,0,1,1,0,0,0,0,7,0,0,0,2,0,0,0,0,0,5.8,9.75,1.15
31,72097,Giovanni Palmieri dos Santos,Giovanni,LAT,266.0,0,0,0,0,0,2,0,0,2,0,0,0,5,0,0,0,0,0,8.9,8.0,-0.05
31,72071,Maurício Azevedo Alves,Amaral,MEI,287.0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1,0,4,0.1,5.62,-0.06
31,72168,João Paulo Mior,João Paulo,MEI,344.0,0,0,0,0,0,1,0,0,5,0,0,0,1,0,0,0,0,2,-0.3,8.01,-0.23
31,72290,Jailson Marcelino dos Santos,Jailson,GOL,275.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1.0,3.48,-1.01
31,72334,,Ayrton,LAT,316.0,0,0,0,1,0,1,0,0,4,0,0,0,1,0,0,0,0,3,0.5,9.93,-0.55
31,72362,Rodrigo Oliveira Lindoso,Rodrigo Lindoso,MEI,263.0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,3,-0.7,12.32,-0.74
31,37701,Leonardo da Silva Moura,Léo Moura,LAT,344.0,0,0,0,0,0,5,0,0,6,0,0,0,4,0,0,0,0,0,7.5,9.17,0.82
31,94228,,Iago,LAT,284.0,0,0,0,1,0,2,0,0,0,0,0,0,2,0,0,0,0,5,2.9,2.13,0.33
31,73384,Samuel Xavier Brito,Samuel Xavier,LAT,292.0,0,0,0,0,0,1,0,0,2,1,0,0,1,0,0,0,0,1,6.1,7.57,1.15
31,72007,Uillian Correia Granemann,Uillian Correia,MEI,344.0,0,0,0,0,1,4,0,0,4,0,0,0,2,0,0,0,0,2,3.9,8.7,0.93
31,71117,,Vander,ATA,287.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.5,2.56,-0.13
31,80944,Johnath Marlone Azevedo da Silva,Marlone,MEI,264.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,-0.8,4.37,-2.61
31,81770,Clayton Silveira da Silva,Clayton,ATA,282.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0.9,6.87,-1.19
31,81223,Frickson Rafael  Erazo Vivero,Erazo,ZAG,282.0,0,0,0,0,1,1,0,0,3,0,0,0,2,0,0,0,0,0,3.7,6.19,-0.6
31,81845,Alisson Euler de Freitas Castro,Alisson,ATA,283.0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1,-0.4,9.28,-0.27
31,95693,,Rodney Wallace,ATA,292.0,0,0,0,2,1,0,0,0,1,0,0,0,1,0,0,0,0,1,3.6,5.02,0.48
