round_num,player_id,player_name,player_nickname,position_id,team_id,G,A,FT,FD,FF,FS,PP,I,PE,SG,DP,DD,RB,GC,CV,CA,GS,FC,total_score,current_price
27,36540,,Juan,3,262,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,2.8,-0.49
27,36940,,Oswaldo de Oliveira,6,282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.09,1.24
27,37281,,Mano Menezes,6,283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.98,0.76
27,37623,,Rafael Marques,3,267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-0.22
27,37646,,Betão,3,314,1,0,0,0,1,0,0,0,3,0,0,0,1,0,0,1,0,1,7.0,1.37
27,37655,,Rafael Moura,5,282,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,-1.3,-0.18
27,37657,,Edu Dracena,3,275,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,1,0.1,-1.05
27,37662,,Jonathan,2,293,0,1,0,0,0,3,0,0,3,0,0,0,1,0,0,0,0,0,7.3,1.21
27,37674,,Wagner,4,267,1,0,0,0,0,3,0,0,2,0,0,0,0,0,0,1,0,3,5.4,0.78
27,37694,,Henrique,4,283,0,0,0,0,1,5,0,0,3,0,0,0,2,0,0,0,0,0,5.7,1.13
27,37770,,Marcelo Grohe,1,284,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1.0,-1.1
27,37792,,Edinho,4,294,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,1.9,0.12
27,37798,,Rafael Sobis,5,283,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,10.7,1.96
27,37851,,Maicosuel,4,276,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.7,0.27
27,37934,,Roger Bernardo,4,282,0,0,0,0,0,1,0,0,2,0,0,0,3,0,0,0,0,2,4.0,0.1
