round_num,player_id,player_name,player_nickname,position_id,team_id,G,A,FT,FD,FF,FS,PP,I,PE,SG,DP,DD,RB,GC,CV,CA,GS,FC,total_score,current_price
5,36540,,Juan,3,262,0,0,0,1,0,1,0,0,1,0,0,0,2,0,0,1,0,0,2.6,-0.47
5,37281,,Mano Menezes,6,283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.35,-0.33
5,37306,,Gilson Kleina,6,303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.97,-1.1
5,37607,,Michel Bastos,4,275,0,0,0,1,2,1,0,1,6,0,0,0,1,0,0,0,0,0,2.3,0.37
5,37644,,Rodrigo,3,303,0,0,0,0,1,2,0,0,2,0,0,0,0,0,0,0,0,0,1.1,-1.41
5,37646,,Betão,3,314,0,0,0,0,0,2,0,0,2,0,0,0,1,0,0,0,0,1,1.6,-0.48
5,37655,,Rafael Moura,5,282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-0.22
5,37656,,Fábio,1,283,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,4.0,0.23
5,37688,,Cícero,4,276,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,-0.6,-0.53
5,37694,,Henrique,4,283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,-5.5,-2.27
5,37701,,Léo Moura,2,284,0,0,0,0,0,3,0,0,3,0,0,0,3,0,0,0,0,0,5.7,-0.06
5,37705,,Juan,4,314,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1.4,0.1
5,37770,,Marcelo Grohe,1,284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,-8.0,-3.34
5,37851,,Maicosuel,4,276,0,0,0,1,0,3,0,0,0,0,0,0,1,0,0,0,0,0,4.2,0.49
5,37919,,Luis Fabiano,5,267,2,0,0,1,3,1,0,0,2,0,0,0,1,0,0,0,0,3,19.2,3.91
5,37984,,Aranha,1,303,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,3,0,3.5,-0.9
5,38021,,Wendel,4,303,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0.9,0.25
5,38100,,Durval,3,292,0,0,0,0,0,1,0,0,2,1,0,0,1,0,0,0,0,1,6.1,1.16
