round_num,player_id,player_name,player_nickname,position_id,team_id,G,A,FT,FD,FF,FS,PP,I,PE,SG,DP,DD,RB,GC,CV,CA,GS,FC,total_score,current_price
30,36940,,Oswaldo de Oliveira,6,282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.47,0.96
30,37281,,Mano Menezes,6,283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.06,0.36
30,37306,,Gilson Kleina,6,315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.85,0.4
30,37644,,Rodrigo,3,303,0,0,0,0,1,3,0,0,2,0,0,0,1,0,0,1,0,1,0.8,-0.69
30,37646,,Betão,3,314,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1.1,-0.31
30,37656,,Fábio,1,283,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,-3.0,-0.76
30,37657,,Edu Dracena,3,275,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1.7,-0.77
30,37694,,Henrique,4,283,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,4,-2.3,-0.17
30,37701,,Léo Moura,2,284,0,0,0,0,1,2,0,0,3,0,0,0,1,0,0,0,0,1,2.0,-0.25
30,37792,,Edinho,4,294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.06
30,37798,,Rafael Sobis,5,283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.5,-0.09
30,37934,,Roger Bernardo,4,282,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,-0.6,-0.39
30,37984,,Aranha,1,303,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,-1.0,-0.55
30,38021,,Wendel,4,303,0,0,0,0,3,2,0,0,2,0,0,0,1,0,0,0,0,1,3.7,-0.05
30,38100,,Durval,3,292,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,2,-0.2,-0.45
30,38138,,Jô,5,264,1,0,0,1,1,2,0,0,4,0,0,0,0,0,0,1,0,0,7.5,1.38
30,38140,,Fernando Prass,1,275,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,-2.3,-1.33
30,38150,,Marquinhos,4,314,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,2,-1.4,-1.79
30,38162,,Fred,5,282,0,1,0,0,1,4,0,1,4,0,0,0,0,0,0,0,0,2,5.0,0.02
30,38229,,Fábio Santos,2,282,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6.7,-0.15
30,38246,,Robinho,5,282,2,0,0,0,0,6,0,0,3,0,0,0,2,0,0,1,0,3,18.0,2.65
30,38277,,Thiago Neves,4,283,1,0,0,2,0,0,0,0,2,0,0,0,1,0,0,0,0,1,10.6,1.66
30,38279,,Wellington Paulista,5,315,1,0,0,1,0,4,0,1,0,0,0,0,0,0,0,0,0,3,9.0,-0.1
30,38315,,Jadson,4,264,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,-2.2,-0.35
30,38394,,Thiago Heleno,3,293,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,3.6,0.7
30,38421,,Rafinha,4,283,0,1,1,0,2,0,0,0,2,0,0,0,3,0,0,0,0,2,13.4,2.28
30,38431,,Diego Cavalieri,1,266,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,5.0,1.18
30,38509,,Diego Alves,1,262,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,-1.0,-0.89
30,38530,,Cleiton Xavier,4,287,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.7,0.5
30,38617,,Danilinho,5,287,0,0,0,0,0,1,0,0,2,0,0,0,2,0,0,0,0,0,3.3,0.69
30,38648,,Hernanes,4,276,1,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,1,12.3,1.31
30,38748,,Maicon,2,314,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0.7,-0.74
30,38908,,Renato,4,277,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,-0.36
30,38909,,Diego,4,262,0,0,0,0,1,1,0,0,3,0,0,0,0,0,0,0,0,2,-0.7,-2.85
30,38910,,Ricardo Oliveira,5,277,1,0,0,2,1,1,0,1,2,0,0,0,0,0,0,0,0,0,10.1,0.45
30,38913,,Nenê,4,267,0,0,0,0,0,1,0,0,5,0,0,0,1,0,0,0,0,1,0.2,0.11
30,38957,,Rafael Marques,5,283,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.0,-0.05
30,39355,,Carpegiani,6,265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.12,0.66
30,39850,,Vagner Mancini,6,287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.34,0.04
30,40006,,Abel Braga,6,266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.48,-0.21
30,40025,,Levir Culpi,6,277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.25,0.73
30,40990,,Dorival Júnior,6,276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.45,0.66
30,41218,,Magrão,1,292,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,2,0,4.7,0.71
30,41327,,Vanderlei Luxemburgo,6,292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.75,-0.42
30,41929,,Renato Gaúcho,6,284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.55,-0.66
30,42145,,Egídio,2,275,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,2,-0.2,-2.03
30,42213,,Fernando Bob,4,303,0,0,0,0,0,2,0,0,2,0,0,0,1,0,0,0,0,4,0.1,0.25
30,42222,,Osvaldo,5,292,0,0,0,0,1,0,0,0,3,0,0,0,2,0,0,0,0,0,3.2,0.55
30,42232,,Amaral,4,315,0,0,0,0,1,0,0,0,1,0,0,0,3,0,0,0,0,2,4.5,-0.14
30,42234,,Cássio,1,264,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,-1.0,-1.55
30,42500,,Fagner,2,264,0,0,0,0,0,1,0,0,4,0,0,0,1,0,0,0,0,1,0.5,-0.45
30,42501,,Rhodolfo,3,262,0,0,0,1,0,0,0,0,1,0,0,0,2,0,0,0,0,1,3.6,0.12
30,49674,,Fabrício,2,293,0,0,0,0,0,0,0,0,4,0,0,0,2,0,0,0,0,2,1.2,0.02
