round_num,player_id,player_name,player_nickname,position,team_id,G,A,FT,FD,FF,FS,PP,I,PE,SG,DP,DD,RB,GC,CV,CA,GS,FC,total_score,current_price
31,36540,,Juan,ZAG,262,0,0,0,0,1,0,0,0,0,1,0,0,4,0,0,1,0,1,10.0,1.84
31,36940,,Oswaldo de Oliveira,TEC,282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.73,-0.35
31,37281,,Mano Menezes,TEC,283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.98,-0.13
31,37306,,Gilson Kleina,TEC,315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.69,-0.61
31,37608,,Cristian,MEI,284,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,2,3.2,0.06
31,37644,,Rodrigo,ZAG,303,0,0,0,1,0,2,0,0,3,1,0,0,1,0,0,0,0,1,7.3,1.04
31,37646,,Betão,ZAG,314,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,5.2,0.65
31,37655,,Rafael Moura,ATA,282,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,4.2,0.72
31,37656,,Fábio,GOL,283,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,8.0,1.69
31,37657,,Edu Dracena,ZAG,275,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0.9,-0.24
31,37662,,Jonathan,LAT,293,0,0,0,0,0,0,0,1,5,1,0,0,1,0,0,0,0,0,4.7,0.34
31,37694,,Henrique,MEI,283,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,1,4.0,0.99
31,37984,,Aranha,GOL,303,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,23.0,4.05
31,38021,,Wendel,MEI,303,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,2.9,-0.12
31,38138,,Jô,ATA,264,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0.0,-1.35
31,38140,,Fernando Prass,GOL,275,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0,-1.3,-0.1
31,38150,,Marquinhos,MEI,314,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,-1.0,0.0
31,38162,,Fred,ATA,282,0,0,0,0,0,3,0,0,1,0,0,0,1,0,0,0,0,2,1.9,-0.64
31,38229,,Fábio Santos,LAT,282,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,1,5.0,-0.21
31,38246,,Robinho,ATA,282,0,0,0,0,0,2,0,1,1,0,0,0,1,0,0,0,0,1,1.4,-2.72
31,38277,,Thiago Neves,MEI,283,0,0,0,1,0,1,0,1,4,0,0,0,1,0,0,0,0,0,1.5,-1.63
31,38279,,Wellington Paulista,ATA,315,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,-0.6,-1.64
31,38311,,Márcio Araújo,MEI,262,0,0,0,0,1,1,0,0,4,0,0,0,1,0,0,0,0,2,0.7,0.15
