round_num,player_id,player_name,player_nickname,position,team_id,G,A,FT,FD,FF,FS,PP,I,PE,SG,DP,DD,RB,GC,CV,CA,GS,FC,total_score,current_price
3,37245,,Guto Ferreira,TEC,265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.94,-0.58
3,37281,,Mano Menezes,TEC,283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.95,0.48
3,37306,,Gilson Kleina,TEC,303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.11,0.51
3,37333,,Marcelo Cabo,TEC,373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.24,0.46
3,37604,,Paulo André,ZAG,293,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,4.2,0.95
3,37607,,Michel Bastos,MEI,275,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,-1.1,-1.36
3,37644,,Rodrigo,ZAG,303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-2.55
3,37646,,Betão,ZAG,314,0,0,0,0,0,1,0,0,4,0,0,0,1,0,0,0,0,0,1.0,-0.1
3,37655,,Rafael Moura,ATA,282,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,8.2,2.34
3,37656,,Fábio,GOL,283,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,8.0,1.57
3,37662,,Jonathan,LAT,293,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0.4,-0.49
3,37688,,Cícero,MEI,276,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,3,-1.1,-1.49
3,37694,,Henrique,MEI,283,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,1,0,1,0.3,-0.6
3,37851,,Maicosuel,MEI,282,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1.2,-0.28
3,37919,,Luis Fabiano,ATA,267,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,1,5.4,0.16
3,37984,,Aranha,GOL,303,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,5.0,0.83
3,38021,,Wendel,MEI,303,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,6.9,1.96
3,38100,,Durval,ZAG,292,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1.4,-0.01
3,38138,,Jô,ATA,264,0,0,0,1,0,1,0,3,1,0,0,0,0,0,0,0,0,1,-0.8,-1.35
3,38140,,Fernando Prass,GOL,275,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,-1.0,-1.9
3,38150,,Marquinhos,MEI,314,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0.4,-0.44
3,38162,,Fred,ATA,282,0,0,0,1,1,4,0,0,3,0,0,0,0,0,0,0,0,1,2.3,-1.09
3,38225,,Muriqui,ATA,267,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0.4,-1.14
3,38229,,Fábio Santos,LAT,282,0,0,0,0,0,3,0,1,3,0,0,0,1,0,0,1,0,3,-1.7,0.01
3,38230,,Grafite,ATA,293,0,0,1,2,1,1,0,0,1,0,0,0,0,0,0,0,0,2,5.4,0.77
3,38246,,Robinho,ATA,282,1,0,0,1,0,1,0,0,9,0,0,0,3,0,0,0,0,1,11.4,-0.35
3,38277,,Thiago Neves,MEI,283,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,8.4,-2.19
3,38279,,Wellington Paulista,ATA,315,1,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,7.2,1.74
3,38311,,Márcio Araújo,MEI,262,0,0,0,0,0,1,0,0,4,0,0,0,1,0,0,0,0,0,1.0,-0.31
3,38315,,Jadson,MEI,264,0,0,0,2,2,0,0,1,7,0,0,0,0,0,0,0,0,0,0.8,-1.03
3,38394,,Thiago Heleno,ZAG,293,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,8.0,1.92
3,38431,,Diego Cavalieri,GOL,266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,-6.0,-2.8
3,38530,,Cleiton Xavier,MEI,287,0,0,0,1,1,0,0,0,3,0,0,0,1,0,0,0,0,1,2.0,0.09
3,38545,,Felipe Melo,MEI,275,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,3,0.7,-2.05
3,38632,,Matheus Ferraz,ZAG,292,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,6.0,1.56
3,38908,,Renato,MEI,277,0,0,0,0,0,3,0,0,2,0,0,0,1,0,0,0,0,0,2.6,-1.27
3,38910,,Ricardo Oliveira,ATA,277,0,0,0,0,2,1,0,0,2,0,0,0,0,0,0,0,0,0,1.3,-1.03
3,38913,,Nenê,MEI,267,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8.7,-1.14
3,38957,,Rafael Marques,ATA,283,0,0,0,0,3,2,0,0,2,0,0,0,1,0,0,0,0,1,3.7,0.81
3,39850,,Vagner Mancini,TEC,315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.09,1.28
3,40006,,Abel Braga,TEC,266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.88,-0.65
3,40179,,Kleber,ATA,294,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1.4,-0.96
3,40990,,Dorival Júnior,TEC,277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.26,-0.99
3,41218,,Magrão,GOL,292,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,3,0,1.7,-0.13
3,41929,,Renato Gaúcho,TEC,284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.3,0.38
3,42116,,Willian,ATA,275,0,0,0,0,0,2,0,0,2,0,0,0,1,0,0,0,0,2,1.1,-0.16
3,42140,,Felipe Santana,ZAG,282,0,1,0,0,0,0,0,1,2,0,0,0,3,0,0,0,0,1,8.5,2.27
3,42222,,Osvaldo,ATA,292,0,1,0,0,1,3,0,0,2,0,0,0,0,0,0,0,0,0,6.6,2.07
3,42234,,Cássio,GOL,264,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,7.7,1.53
3,42330,,Felipe Garcia,GOL,373,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,1,0,9.7,2.67
3,42411,,Cuca,TEC,275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1,-0.93
3,42500,,Fagner,LAT,264,0,0,0,0,0,3,0,0,3,1,0,0,0,0,0,0,0,1,5.1,0.36
3,50284,,Wilson,GOL,294,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,5.7,1.13
3,50294,,Guilherme,MEI,293,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.0,-0.91
3,50307,,Adilson,MEI,282,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,-1.3,-0.89
3,50317,,David Braz,ZAG,277,0,0,0,0,0,1,0,0,3,0,0,0,2,0,0,0,0,0,3.0,-0.53
3,50324,,Hudson,MEI,283,0,0,0,0,1,1,0,0,1,0,0,0,2,0,0,1,0,0,2.3,0.03
3,50362,,Lucas,LAT,266,0,0,0,0,1,0,0,1,4,0,0,0,2,0,0,0,0,2,1.4,0.13
3,50402,,Kayke,ATA,277,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-0.3,-1.38
3,50407,,Marquinho,MEI,266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,-2.5,-2.4
3,50408,,Breno,ZAG,267,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,-1.1,-0.87
3,50427,,Kadu,ZAG,303,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,1,0,1,3.6,0.07
3,50459,,Léo,ZAG,283,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,1,0,2,0.8,-0.6
3,50645,,Eduardo,LAT,265,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,1,-1.5,-1.22
3,50856,,Henrique,ZAG,266,0,0,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,-1.3,-1.36
3,51042,,Apodi,LAT,315,0,0,0,1,0,1,0,0,5,1,0,0,2,0,0,0,0,0,8.4,2.08
3,51415,,Roger Carvalho,ZAG,373,0,0,0,0,1,3,0,0,3,0,0,0,4,0,0,0,0,3,6.6,1.71
3,51705,,Bruno Rodrigo,ZAG,284,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-0.3,-1.89
3,51905,,Leandro Salino,LAT,287,0,0,0,0,0,5,0,0,5,0,0,0,1,0,0,0,0,3,1.2,-0.49
3,52253,,Réver,ZAG,262,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,0,0,0,3.6,0.04
3,52674,,Gilson,LAT,263,0,0,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,7.7,1.89
3,52950,,Victor,GOL,282,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,5.0,0.99
3,53669,,Lins,ATA,303,0,1,0,0,1,1,0,1,4,0,0,0,0,0,0,0,0,1,4.0,0.88
3,54395,,Elias,MEI,282,0,0,0,0,0,2,0,0,2,0,0,0,2,0,0,0,0,0,3.8,-0.04
3,54797,,Túlio de Melo,ATA,315,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,1,-0.9,-0.93
3,60784,,Rafael Carioca,MEI,282,0,0,0,0,0,1,0,0,2,0,0,0,2,0,0,0,0,1,2.8,0.22
3,60788,,Marquinhos,ATA,292,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,10.0,2.2
3,60819,,Dedé,ZAG,283,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,6.4,1.75
3,61033,,Rodriguinho,MEI,264,1,0,0,0,0,4,0,0,6,0,0,0,1,0,0,0,0,3,8.4,1.54
3,61149,,Lucca,ATA,303,2,0,0,1,2,2,0,0,4,0,0,0,0,0,0,0,0,2,17.2,4.84
3,62009,,Camilo,MEI,263,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,3.1,-0.31
3,62047,,Jean,LAT,275,0,0,0,0,1,1,1,0,6,0,0,0,1,0,0,0,0,0,-2.4,-2.73
3,62086,,Pará,LAT,262,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,3,3.7,0.12
3,62121,,Vanderlei,GOL,277,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1.0,-2.53
3,62128,,Walter,ATA,373,0,0,0,0,1,0,0,0,6,0,0,0,1,0,0,0,0,2,-0.4,-0.81
3,62130,,William Matheus,LAT,294,0,0,0,1,0,2,0,0,4,1,0,0,0,0,0,0,0,3,4.3,0.64
3,62974,,Werley,ZAG,294,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,4.1,1.0
3,63000,,Victor Ramos,ZAG,315,0,0,0,0,0,0,0,0,4,1,0,0,1,0,0,0,0,1,5.0,0.63
3,63013,,Marcos Rocha,LAT,282,0,1,0,0,1,1,0,0,5,0,0,0,2,0,0,0,0,1,7.6,1.5
3,63058,,Willian Farias,MEI,287,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,1,5.3,1.05
3,63172,,Paulão,ZAG,267,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,3,-1.7,-1.42
3,63177,,Júnior Viçosa,ATA,373,0,0,0,1,1,1,0,2,2,0,0,0,0,0,0,0,0,0,0.6,-0.31
3,63422,,Jucilei,MEI,276,0,0,0,0,0,3,0,0,2,0,0,0,3,0,0,0,0,5,3.5,-0.04
3,68690,,André,ATA,292,3,0,0,0,0,0,0,1,2,0,0,0,2,0,0,0,0,0,26.3,8.03
3,68698,,Bruno Silva,MEI,263,1,0,0,1,0,1,0,0,3,0,0,0,2,0,0,1,0,3,8.5,1.35
3,68758,,Fernandinho,ATA,284,2,0,0,0,0,8,0,0,2,0,0,0,1,0,0,0,0,0,21.1,5.8
3,68773,,Henrique Almeida,ATA,294,0,0,1,2,0,1,0,1,1,0,0,0,1,0,0,0,0,0,6.9,1.22
3,68784,,Júnior Dutra,ATA,314,0,0,0,1,0,2,0,0,5,0,0,0,0,0,0,0,0,0,0.5,-1.05
3,68807,,Neto Berola,ATA,294,0,0,0,0,0,2,0,2,3,0,0,0,0,0,0,0,0,1,-1.4,-1.25
3,68808,,Nino Paraíba,LAT,303,0,0,0,1,0,5,0,0,6,0,0,0,3,0,0,1,0,2,3.8,-0.31
3,68834,,Rithely,MEI,292,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,3,-1.6,-1.84
3,68901,,Rodrigo Pimpão,ATA,263,0,1,0,0,0,2,0,0,2,0,0,0,2,0,0,0,0,6,5.8,1.25
3,68910,,Anselmo,MEI,292,0,0,0,0,0,3,0,0,2,0,0,0,4,0,0,1,0,4,3.7,0.0
3,68920,,Dudu,ATA,275,0,0,0,0,0,2,0,0,8,0,0,0,0,0,0,0,0,0,-1.4,-4.64
3,68930,,Kieza,ATA,287,0,0,0,0,2,7,0,2,3,0,0,0,1,0,0,0,0,4,2.7,-1.87
3,68932,,Renan Ribeiro,GOL,276,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,4.7,0.62
3,69036,,Eduardo,LAT,373,0,0,0,0,0,1,0,0,2,0,0,0,2,0,0,1,0,4,-0.7,0.01
3,69138,,Pablo,ATA,293,0,0,0,0,1,2,0,2,5,0,0,0,0,0,0,1,0,1,-3.3,-1.9
3,69165,,Pablo,ZAG,264,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,6.1,-0.39
3,69249,,Martín Silva,GOL,267,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,-1.0,-1.29
3,69705,,Nikão,MEI,293,0,0,1,1,0,0,0,0,2,0,0,0,1,0,0,0,0,1,5.1,0.79
3,70046,,Victor Ferraz,LAT,277,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,1,-4.0,-3.3
3,70058,,Tiago Real,MEI,294,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,2.2,-0.77
