round_num,query_time,player_id,status_id
10,2019-07-13 14:14:27,91929,Nulo
10,2019-07-13 14:14:27,94981,Nulo
10,2019-07-13 14:14:27,94980,Nulo
10,2019-07-13 14:14:27,92841,Nulo
10,2019-07-13 14:14:27,94982,Nulo
10,2019-07-13 14:14:27,95799,Provável
10,2019-07-13 14:14:27,95464,Provável
10,2019-07-13 14:14:27,103295,Nulo
10,2019-07-13 14:14:27,97520,Nulo
10,2019-07-13 14:14:27,98184,Nulo
10,2019-07-13 14:14:27,97522,Nulo
10,2019-07-13 14:14:27,104128,Nulo
10,2019-07-13 14:14:27,104634,Nulo
10,2019-07-13 14:14:27,101035,Nulo
10,2019-07-13 14:14:27,102609,Nulo
10,2019-07-13 14:14:27,103523,Nulo
10,2019-07-13 14:14:27,101626,Nulo
10,2019-07-13 14:14:27,37688,Nulo
10,2019-07-13 14:14:27,38431,Nulo
10,2019-07-13 14:14:27,104591,Nulo
10,2019-07-13 14:14:27,68901,Nulo
10,2019-07-13 14:14:27,52674,Provável
10,2019-07-13 14:14:27,68930,Dúvida
10,2019-07-13 14:14:27,62121,Dúvida
10,2019-07-13 14:14:27,52253,Nulo
10,2019-07-13 14:14:27,70132,Nulo
10,2019-07-13 14:14:27,89150,Nulo
10,2019-07-13 14:14:27,72168,Provável
10,2019-07-13 14:14:27,84848,Provável
10,2019-07-13 14:14:27,63354,Nulo
10,2019-07-13 14:14:27,89815,Provável
10,2019-07-13 14:14:27,81682,Nulo
10,2019-07-13 14:14:27,90715,Provável
10,2019-07-13 14:14:27,91508,Nulo
10,2019-07-13 14:14:27,93414,Provável
10,2019-07-13 14:14:27,95638,Nulo
10,2019-07-13 14:14:27,99430,Nulo
10,2019-07-13 14:14:27,73281,Nulo
10,2019-07-13 14:14:27,93797,Provável
10,2019-07-13 14:14:27,99661,Nulo
10,2019-07-13 14:14:27,100002,Nulo
10,2019-07-13 14:14:27,95798,Provável
10,2019-07-13 14:14:27,102958,Nulo
10,2019-07-13 14:14:27,99474,Nulo
10,2019-07-13 14:14:27,104080,Nulo
10,2019-07-13 14:14:27,102597,Nulo
10,2019-07-13 14:14:27,103183,Nulo
10,2019-07-13 14:14:27,104650,Nulo
10,2019-07-13 14:14:27,104081,Nulo
10,2019-07-13 14:14:27,37792,Nulo
10,2019-07-13 14:14:27,37717,Nulo
10,2019-07-13 14:14:27,104651,Nulo
10,2019-07-13 14:14:27,71113,Nulo
10,2019-07-13 14:14:27,50877,Nulo
10,2019-07-13 14:14:27,69141,Provável
10,2019-07-13 14:14:27,51700,Nulo
10,2019-07-13 14:14:27,51495,Provável
10,2019-07-13 14:14:27,71787,Nulo
10,2019-07-13 14:14:27,70925,Nulo
10,2019-07-13 14:14:27,72359,Suspenso
10,2019-07-13 14:14:27,71882,Provável
10,2019-07-13 14:14:27,71937,Provável
10,2019-07-13 14:14:27,78475,Contundido
10,2019-07-13 14:14:27,78577,Provável
10,2019-07-13 14:14:27,78654,Nulo
10,2019-07-13 14:14:27,77570,Nulo
10,2019-07-13 14:14:27,78851,Contundido
10,2019-07-13 14:14:27,79336,Nulo
10,2019-07-13 14:14:27,73384,Provável
10,2019-07-13 14:14:27,80393,Provável
10,2019-07-13 14:14:27,84428,Provável
10,2019-07-13 14:14:27,82930,Nulo
10,2019-07-13 14:14:27,82407,Nulo
10,2019-07-13 14:14:27,84187,Nulo
10,2019-07-13 14:14:27,94297,Nulo
10,2019-07-13 14:14:27,86740,Provável
10,2019-07-13 14:14:27,84509,Provável
10,2019-07-13 14:14:27,88669,Provável
10,2019-07-13 14:14:27,70986,Nulo
10,2019-07-13 14:14:27,91972,Contundido
10,2019-07-13 14:14:27,100430,Nulo
10,2019-07-13 14:14:27,71043,Nulo
10,2019-07-13 14:14:27,78077,Nulo
10,2019-07-13 14:14:27,73741,Provável
10,2019-07-13 14:14:27,83528,Provável
10,2019-07-13 14:14:27,81776,Nulo
10,2019-07-13 14:14:27,71479,Provável
10,2019-07-13 14:14:27,91607,Provável
10,2019-07-13 14:14:27,95131,Nulo
10,2019-07-13 14:14:27,86766,Nulo
10,2019-07-13 14:14:27,98933,Nulo
10,2019-07-13 14:14:27,78605,Nulo
10,2019-07-13 14:14:27,98022,Nulo
10,2019-07-13 14:14:27,98352,Provável
10,2019-07-13 14:14:27,98224,Nulo
10,2019-07-13 14:14:27,99460,Nulo
10,2019-07-13 14:14:27,97619,Nulo
10,2019-07-13 14:14:27,101579,Nulo
10,2019-07-13 14:14:27,98057,Provável
10,2019-07-13 14:14:27,101678,Nulo
10,2019-07-13 14:14:27,101960,Nulo
10,2019-07-13 14:14:27,101997,Nulo
10,2019-07-13 14:14:27,102253,Nulo
10,2019-07-13 14:14:27,102290,Nulo
10,2019-07-13 14:14:27,102301,Contundido
10,2019-07-13 14:14:27,102877,Nulo
10,2019-07-13 14:14:27,104333,Nulo
10,2019-07-13 14:14:27,104250,Nulo
10,2019-07-13 14:14:27,105176,Nulo
10,2019-07-13 14:14:27,105208,Nulo
10,2019-07-13 14:14:27,39572,Contundido
10,2019-07-13 14:14:27,101421,Nulo
10,2019-07-13 14:14:27,38311,Provável
10,2019-07-13 14:14:27,50645,Provável
10,2019-07-13 14:14:27,105175,Nulo
10,2019-07-13 14:14:27,72497,Provável
10,2019-07-13 14:14:27,50313,Contundido
10,2019-07-13 14:14:27,63110,Provável
10,2019-07-13 14:14:27,42232,Nulo
10,2019-07-13 14:14:27,68887,Provável
10,2019-07-13 14:14:27,63128,Provável
10,2019-07-13 14:14:27,51194,Contundido
10,2019-07-13 14:14:27,69008,Contundido
10,2019-07-13 14:14:27,71042,Nulo
10,2019-07-13 14:14:27,73721,Nulo
10,2019-07-13 14:14:27,78117,Provável
10,2019-07-13 14:14:27,72391,Provável
10,2019-07-13 14:14:27,98412,Provável
10,2019-07-13 14:14:27,85930,Nulo
10,2019-07-13 14:14:27,93151,Contundido
10,2019-07-13 14:14:27,78991,Suspenso
10,2019-07-13 14:14:27,101422,Nulo
10,2019-07-13 14:14:27,97535,Nulo
10,2019-07-13 14:14:27,98421,Nulo
10,2019-07-13 14:14:27,97536,Nulo
10,2019-07-13 14:14:27,102998,Nulo
10,2019-07-13 14:14:27,98794,Nulo
10,2019-07-13 14:14:27,102997,Nulo
10,2019-07-13 14:14:27,102892,Contundido
10,2019-07-13 14:14:27,38959,Provável
10,2019-07-13 14:14:27,90061,Provável
10,2019-07-13 14:14:27,102999,Nulo
10,2019-07-13 14:14:27,38315,Nulo
10,2019-07-13 14:14:27,69014,Provável
10,2019-07-13 14:14:27,50856,Nulo
10,2019-07-13 14:14:27,51413,Nulo
10,2019-07-13 14:14:27,52190,Provável
10,2019-07-13 14:14:27,69161,Nulo
10,2019-07-13 14:14:27,72097,Nulo
10,2019-07-13 14:14:27,105786,Nulo
10,2019-07-13 14:14:27,99918,Nulo
10,2019-07-13 14:14:27,71829,Provável
10,2019-07-13 14:14:27,89492,Nulo
10,2019-07-13 14:14:27,104625,Nulo
10,2019-07-13 14:14:27,86932,Nulo
10,2019-07-13 14:14:27,70666,Provável
10,2019-07-13 14:14:27,70696,Provável
10,2019-07-13 14:14:27,72142,Provável
10,2019-07-13 14:14:27,105807,Nulo
10,2019-07-13 14:14:27,78715,Nulo
10,2019-07-13 14:14:27,90843,Nulo
10,2019-07-13 14:14:27,80664,Nulo
10,2019-07-13 14:14:27,82647,Nulo
10,2019-07-13 14:14:27,96524,Nulo
10,2019-07-13 14:14:27,83817,Provável
10,2019-07-13 14:14:27,98822,Provável
10,2019-07-13 14:14:27,86711,Provável
10,2019-07-13 14:14:27,82653,Nulo
10,2019-07-13 14:14:27,87225,Provável
10,2019-07-13 14:14:27,99903,Nulo
10,2019-07-13 14:14:27,60791,Nulo
10,2019-07-13 14:14:27,101647,Nulo
10,2019-07-13 14:14:27,97352,Nulo
10,2019-07-13 14:14:27,91808,Nulo
10,2019-07-13 14:14:27,104593,Nulo
10,2019-07-13 14:14:27,69177,Provável
10,2019-07-13 14:14:27,88323,Nulo
10,2019-07-13 14:14:27,98484,Nulo
10,2019-07-13 14:14:27,93108,Nulo
10,2019-07-13 14:14:27,92146,Dúvida
10,2019-07-13 14:14:27,98706,Provável
10,2019-07-13 14:14:27,101597,Nulo
10,2019-07-13 14:14:27,95352,Contundido
10,2019-07-13 14:14:27,105049,Nulo
10,2019-07-13 14:14:27,97994,Nulo
10,2019-07-13 14:14:27,100712,Nulo
10,2019-07-13 14:14:27,105339,Nulo
