match_num,player_name_2,player_team,player_status
91,Rafael Sobis,Cruzeiro - MG,out
91,Bruno Silva,Cruzeiro - MG,in
91,Lucas Silva,Cruzeiro - MG,out
91,Marcelo,Cruzeiro - MG,in
91,Wagner,Vasco da Gama - RJ,out
91,Giovanni Augusto,Vasco da Gama - RJ,in
91,Luiz,Vasco da Gama - RJ,out
91,Wellington,Vasco da Gama - RJ,in
91,Bruno,Vasco da Gama - RJ,out
91,Evander,Vasco da Gama - RJ,in
92,Carlos Eduardo,Paraná - PR,out
92,Silvinho,Paraná - PR,in
92,Thiago,Paraná - PR,out
92,Alex,Paraná - PR,in
92,Jhonny,Paraná - PR,out
92,Carlos Alberto Carvalho,Paraná - PR,in
92,Elton,Bahia - BA,out
92,Fernando,Bahia - BA,in
92,Vinicius,Bahia - BA,out
92,Allione,Bahia - BA,in
92,Ze Rafael,Bahia - BA,out
92,Italo,Bahia - BA,in
93,Judivan,América - MG,out
93,Ademir,América - MG,in
93,Leandro Donizete,América - MG,out
93,Ruy,América - MG,in
93,Luan,América - MG,out
93,Marquinhos,América - MG,in
93,Luan,Atlético - MG,out
93,Tomas Andrade,Atlético - MG,in
93,Jose,Atlético - MG,out
93,Gleison Bremer Silva Nascimento,Atlético - MG,in
93,Cazares,Atlético - MG,out
93,Elias,Atlético - MG,in
94,Rhayner,Vitória - BA,out
94,Nickson,Vitória - BA,in
94,Neilton,Vitória - BA,out
94,Lucas Fernandes,Vitória - BA,in
94,Marcio Araujo,Chapecoense - SC,out
94,Guilherme Augusto,Chapecoense - SC,in
94,Wellington Paulista,Chapecoense - SC,out
94,Vinicius,Chapecoense - SC,in
94,Apodi,Chapecoense - SC,out
94,Eduardo,Chapecoense - SC,in
95,Renato Chaves,Fluminense - RJ,out
95,Pablo Dyego,Fluminense - RJ,in
95,Sornoza,Fluminense - RJ,out
95,Matheus Alessandro,Fluminense - RJ,in
95,Henrique Dourado,Flamengo - RJ,out
95,Felipe Vizeu,Flamengo - RJ,in
95,Rhodolfo,Flamengo - RJ,out
95,Thuler,Flamengo - RJ,in
95,Marlos Moreno,Flamengo - RJ,out
95,Jean,Flamengo - RJ,in
96,Joao Pedro,Botafogo - RJ,out
96,Renatinho,Botafogo - RJ,in
96,Carli,Botafogo - RJ,out
96,Yago,Botafogo - RJ,in
96,Aguirre,Botafogo - RJ,out
96,Luiz Fernando,Botafogo - RJ,in
96,Rafael,Ceará - CE,out
96,Douglas,Ceará - CE,in
96,Fabinho,Ceará - CE,out
96,Naldo,Ceará - CE,in
96,Valdo,Ceará - CE,out
96,Tiago,Ceará - CE,in
97,Santiago,São Paulo - SP,out
97,Felipe,São Paulo - SP,in
97,Igor,São Paulo - SP,out
97,Paulo,São Paulo - SP,in
97,Lucas,São Paulo - SP,out
97,Shaylon,São Paulo - SP,in
97,Lucca,Internacional - RS,out
97,Rossi,Internacional - RS,in
97,William,Internacional - RS,out
97,Nico Lopez,Internacional - RS,in
97,Charles,Internacional - RS,out
97,Camilo,Internacional - RS,in
98,Rogerio,Sport - PE,out
98,Michel Bastos,Sport - PE,in
98,Gabriel,Sport - PE,out
98,Neto,Sport - PE,in
98,Evandro,Sport - PE,out
98,Durval,Sport - PE,in
98,Nikao,Atlético - PR,out
98,Bergson,Atlético - PR,in
98,Camacho,Atlético - PR,out
98,Bill,Atlético - PR,in
98,Ivaldo,Atlético - PR,out
98,Bruno Guimaraes,Atlético - PR,in
99,Roger,Corinthians - SP,out
99,Emerson Sheik,Corinthians - SP,in
99,Pedro,Corinthians - SP,out
99,Mateus,Corinthians - SP,in
99,Eduardo Sasha,Santos - SP,out
99,Bruno,Santos - SP,in
99,Gabriel B.,Santos - SP,out
99,Leo Cittadini,Santos - SP,in
99,Rodrygo,Santos - SP,out
99,Copete,Santos - SP,in
100,Maicon,Grêmio - RS,out
100,Jailson,Grêmio - RS,in
100,Arthur,Grêmio - RS,out
100,T. Anderson,Grêmio - RS,in
100,Lima,Grêmio - RS,out
100,Pepe,Grêmio - RS,in
100,Felipe Melo,Palmeiras - SP,out
100,Thiago Santos,Palmeiras - SP,in
100,Moises,Palmeiras - SP,out
100,Jean,Palmeiras - SP,in
100,Bruno,Palmeiras - SP,out
100,Lucas Lima,Palmeiras - SP,in
