match_num,player_name_2,team_name_3,player_status
211,Rogerio,Botafogo - RJ,out
211,Wallyson,Botafogo - RJ,in
211,Airton,Botafogo - RJ,out
211,Bolatti,Botafogo - RJ,in
211,Pablo Daniel,Botafogo - RJ,out
211,Yuri Mamute,Botafogo - RJ,in
211,Rafael,Bahia - BA,out
211,Branquinho,Bahia - BA,in
211,Leo Gago,Bahia - BA,out
211,Max,Bahia - BA,in
211,Biancucchi,Bahia - BA,out
211,Marcos Aurelio,Bahia - BA,in
212,Diego Souza,Sport - PE,out
212,Neto Baiano,Sport - PE,in
212,Ferron,Sport - PE,out
212,Oswaldo,Sport - PE,in
212,Felipe Azevedo,Sport - PE,out
212,Erico Junior,Sport - PE,in
212,Alex,Internacional - RS,out
212,Valdivia,Internacional - RS,in
212,Dalessandro,Internacional - RS,out
212,Rafael Moura,Internacional - RS,in
212,Gilberto,Internacional - RS,out
212,Alan Patrick,Internacional - RS,in
213,Jadson,Corinthians - SP,out
213,Lodeiro,Corinthians - SP,in
213,Felipe,Corinthians - SP,out
213,Bruno,Corinthians - SP,in
213,Luciano,Corinthians - SP,out
213,Angel Romero,Corinthians - SP,in
213,Camilo,Chapecoense - SC,out
213,Zezinho,Chapecoense - SC,in
213,Diones,Chapecoense - SC,out
213,Dede,Chapecoense - SC,in
213,Fabinho Alves,Chapecoense - SC,out
213,Wanderson,Chapecoense - SC,in
214,Henrique Dourado,Palmeiras - SP,out
214,Allione,Palmeiras - SP,in
214,Pablo Nicolas Mouche,Palmeiras - SP,out
214,Valdivia,Palmeiras - SP,in
214,Cristaldo,Palmeiras - SP,out
214,Patrick,Palmeiras - SP,in
214,Marcio Araujo,Flamengo - RJ,out
214,Elton,Flamengo - RJ,in
214,Caceres,Flamengo - RJ,out
214,Amaral,Flamengo - RJ,in
214,Eduardo da Silva,Flamengo - RJ,out
214,Luiz Antonio,Flamengo - RJ,in
215,Welinton,Coritiba - PR,out
215,Luccas Claro,Coritiba - PR,in
215,Rosinei,Coritiba - PR,out
215,Elber,Coritiba - PR,in
215,Ze Eduardo,Coritiba - PR,out
215,Dudu,Coritiba - PR,in
215,Denilson,São Paulo - SP,out
215,Luis Fabiano,São Paulo - SP,in
215,Alexandre Pato,São Paulo - SP,out
215,Osvaldo,São Paulo - SP,in
215,Alvaro Pereira,São Paulo - SP,out
215,Gabriel,São Paulo - SP,in
216,Julio Baptista,Cruzeiro - MG,out
216,Willian,Cruzeiro - MG,in
216,Everton Ribeiro,Cruzeiro - MG,out
216,Nilton,Cruzeiro - MG,in
216,Alisson,Cruzeiro - MG,out
216,Marlone,Cruzeiro - MG,in
216,Natanael,Atletico - PR,out
216,Sidcley,Atletico - PR,in
216,Douglas,Atletico - PR,out
216,Mosquito,Atletico - PR,in
216,João Paulo,Atletico - PR,out
216,Hernani,Atletico - PR,in
217,Willie,Vitória - BA,out
217,Vinicius,Vitória - BA,in
217,Welison,Vitória - BA,out
217,William Henrique,Vitória - BA,in
217,Marcio,Vitória - BA,out
217,Luis Bernardo,Vitória - BA,in
217,Diguinho,Fluminense - RJ,out
217,Valencia,Fluminense - RJ,in
217,Fred,Fluminense - RJ,out
217,Robert,Fluminense - RJ,in
217,Fernando Neto,Fluminense - RJ,out
217,Marlon,Fluminense - RJ,in
218,Fellipe,Grêmio - RS,out
218,Riveros,Grêmio - RS,in
218,Matias,Grêmio - RS,out
218,Walace,Grêmio - RS,in
218,Luan,Grêmio - RS,out
218,Fernandinho,Grêmio - RS,in
218,Leandro Damiao,Santos - SP,out
218,Gigio,Santos - SP,in
218,Lucas Lima,Santos - SP,out
218,Alan Santos,Santos - SP,in
218,Gabriel B.,Santos - SP,out
218,Stefano Yuri Goncalves Almeida,Santos - SP,in
219,França,Figueirense - SC,out
219,Pablo,Figueirense - SC,in
219,Everaldo,Figueirense - SC,out
219,Marcao,Figueirense - SC,in
219,Roberto Cereceda,Figueirense - SC,out
219,William,Figueirense - SC,in
219,Silvinho,Criciuma - SC,out
219,Paulo Baier,Criciuma - SC,in
219,Ze Carlos,Criciuma - SC,out
219,Souza,Criciuma - SC,in
220,Samuel,Goiás - GO,out
220,Welinton,Goiás - GO,in
220,Valmir,Goiás - GO,out
220,Moises,Goiás - GO,in
220,Murilo,Goiás - GO,out
220,Ramon,Goiás - GO,in
220,Claudinei,Atlético - MG,out
220,Eduardo,Atlético - MG,in
220,Carlos Alberto Carvalho,Atlético - MG,out
220,Douglas Santos,Atlético - MG,in
220,Datolo,Atlético - MG,out
220,Fillipe Soutto,Atlético - MG,in
