match_num,player_name_2,team_name_3,player_status
101,Airton,Botafogo - RJ,out
101,Rodrigo Souto,Botafogo - RJ,in
101,Daniel,Botafogo - RJ,out
101,Gabriel,Botafogo - RJ,in
101,Yuri Mamute,Botafogo - RJ,out
101,Gêge,Botafogo - RJ,in
101,Gil,Coritiba - PR,out
101,Elber,Coritiba - PR,in
101,Robinho,Coritiba - PR,out
101,Geraldo,Coritiba - PR,in
101,Germano,Coritiba - PR,out
101,Martinucio,Coritiba - PR,in
102,Rafael Sobis,Fluminense - RJ,out
102,Robert,Fluminense - RJ,in
102,Wagner,Fluminense - RJ,out
102,Valencia,Fluminense - RJ,in
102,Walter,Fluminense - RJ,out
102,Samuel,Fluminense - RJ,in
102,Gigio,Santos - SP,out
102,Jorge Eduardo,Santos - SP,in
102,Rildo,Santos - SP,out
102,Diego,Santos - SP,in
102,Gabriel B.,Santos - SP,out
102,Stefano Yuri Goncalves Almeida,Santos - SP,in
103,Osvaldo,São Paulo - SP,out
103,Ewandro,São Paulo - SP,in
103,Ademilson,São Paulo - SP,out
103,Alexandre Pato,São Paulo - SP,in
103,Camilo,Chapecoense - SC,out
103,Zezinho,Chapecoense - SC,in
103,Odair,Chapecoense - SC,out
103,Abuda,Chapecoense - SC,in
103,Ricardo Conceicao,Chapecoense - SC,out
103,Bruno Silva,Chapecoense - SC,in
104,Weverson,Palmeiras - SP,out
104,Pablo Nicolas Mouche,Palmeiras - SP,in
104,Mendieta,Palmeiras - SP,out
104,Erik,Palmeiras - SP,in
104,Sebastian,Palmeiras - SP,out
104,Felipe,Palmeiras - SP,in
104,Egidio,Cruzeiro - MG,out
104,Miguel Angel Ramon Samudio,Cruzeiro - MG,in
104,Marquinhos,Cruzeiro - MG,out
104,Tinga,Cruzeiro - MG,in
104,Lucas Silva,Cruzeiro - MG,out
104,Willian,Cruzeiro - MG,in
105,Ederson,Atletico - PR,out
105,João Paulo,Atletico - PR,in
105,Douglas,Atletico - PR,out
105,Mosquito,Atletico - PR,in
105,Marcelo Cirino,Atletico - PR,out
105,Cleo,Atletico - PR,in
105,Silvinho,Criciuma - SC,out
105,Mauro,Criciuma - SC,in
105,Rodrigo,Criciuma - SC,out
105,Michael,Criciuma - SC,in
105,Paulo Baier,Criciuma - SC,out
105,Rafinha,Criciuma - SC,in
106,Maicosuel,Atlético - MG,out
106,Luan,Atlético - MG,in
106,Alex Silva,Atlético - MG,out
106,Pedro Botelho,Atlético - MG,in
106,Datolo,Atlético - MG,out
106,Marion,Atlético - MG,in
106,Demerson,Bahia - BA,out
106,Adailton Jose dos Santos Filho,Bahia - BA,in
106,H. Almeida,Bahia - BA,out
106,Wiliam Barbio,Bahia - BA,in
106,Biancucchi,Bahia - BA,out
106,Branquinho,Bahia - BA,in
107,Richarlyson,Vitória - BA,out
107,Luis,Vitória - BA,in
107,Leonardo,Vitória - BA,out
107,William Henrique,Vitória - BA,in
107,Adriano,Vitória - BA,out
107,Joseilson,Vitória - BA,in
107,Jadson,Corinthians - SP,out
107,Angel Romero,Corinthians - SP,in
107,Petros,Corinthians - SP,out
107,Renato Augusto,Corinthians - SP,in
107,Luciano,Corinthians - SP,out
107,Romarinho,Corinthians - SP,in
108,Wellington Silva,Internacional - RS,out
108,Claudio Winck,Internacional - RS,in
108,Aranguiz,Internacional - RS,out
108,Luque,Internacional - RS,in
108,Alecsandro,Flamengo - RJ,out
108,Luiz,Flamengo - RJ,in
108,Amaral,Flamengo - RJ,out
108,Negueba,Flamengo - RJ,in
108,Nixon,Flamengo - RJ,out
108,Fernando,Flamengo - RJ,in
109,Leonardo,Figueirense - SC,out
109,Everaldo,Figueirense - SC,in
109,Dener,Figueirense - SC,out
109,Nem,Figueirense - SC,in
109,Ricardo Bueno,Figueirense - SC,out
109,Clayton,Figueirense - SC,in
109,Ramiro,Grêmio - RS,out
109,Ze Roberto,Grêmio - RS,in
109,Barcos,Grêmio - RS,out
109,Lucas,Grêmio - RS,in
109,Luan,Grêmio - RS,out
109,Dudu,Grêmio - RS,in
110,Tiago Real,Goiás - GO,out
110,Esquerdinha,Goiás - GO,in
110,Junior,Goiás - GO,out
110,Bruno Mineiro,Goiás - GO,in
110,Liniker,Goiás - GO,out
110,Erik,Goiás - GO,in
110,Leonardo,Sport - PE,out
110,Willian,Sport - PE,in
110,Ze Mario,Sport - PE,out
110,Renan,Sport - PE,in
110,Erico Junior,Sport - PE,out
110,Danilo,Sport - PE,in
