,apelido,atleta_id,clube_id,foto,jogos_num,media_num,nome,pontos_num,posicao_id,preco_num,rodada_id,scout,slug,status_id,variacao_num
414,Hiago,97535,315,https://s.glbimg.com/es/sde/f/2018/05/24/290a6f9eadad6684596a861f850734aa_FORMATO.png,0,0.0,Hiago Corrêa Silveira Cena,0.0,3,2.0,6,{},hiago,6,0.0
415,William Oliveira,94297,354,https://s.glbimg.com/es/sde/f/2019/03/28/a3452277d99839a5fd7add732b5aa132_FORMATO.png,0,0.0,William Oliveira dos Santos,0.0,4,3.0,6,{},william-oliveira,5,0.0
416,Júnior Urso,71829,264,https://s.glbimg.com/es/sde/f/2019/05/23/5276932da13edef774a1a4af1abb3beb_FORMATO.png,3,1.5,Ocimar de Almeida Júnior,2.7,4,7.02,6,"{'CA': 2, 'FC': 4, 'FD': 3, 'FF': 2, 'FS': 4, 'PE': 4, 'RB': 3}",junior-urso,6,0.62
417,Vitor Feijão,93005,354,https://s.glbimg.com/es/sde/f/2019/03/28/64f2765bef70bf7e6c6f09bd2d8e9a30_FORMATO.png,0,0.0,Vitor Correia da Silva,0.0,5,3.0,6,{},vitor-feijao,6,0.0
418,Bruno Ramires,89924,341,https://s.glbimg.com/es/sde/f/2019/03/23/10a59cd060887aaea6d902edd828545f_FORMATO.png,3,1.3,Bruno Edgar Silva Almeida,0.0,4,3.81,6,"{'CA': 1, 'FC': 4, 'FF': 1, 'FS': 1, 'PE': 3, 'RB': 5}",bruno-ramires,6,0.0
419,Orzusa,99160,315,https://s.glbimg.com/es/sde/f/2019/03/28/f097d7229e237a4c8f098bd3ee11656a_FORMATO.png,0,0.0,Edgardo Daniel Orzusa Cáceres,0.0,4,2.0,6,{},orzusa,6,0.0
420,Diego Torres,98794,315,https://s.glbimg.com/es/sde/f/2019/03/28/a16774fba850b0c0dafc5cb1c27fbb4f_FORMATO.png,3,4.8,Diego Fabián Torres,11.0,4,5.93,6,"{'FD': 1, 'FF': 2, 'FS': 3, 'G': 1, 'PE': 8, 'RB': 3}",diego-torres,6,2.15
421,Bryan,97536,315,https://s.glbimg.com/es/sde/f/2017/06/07/423798cbfcbd349a861fc146b3a5c1e9_FORMATO.png,3,0.37,Bryan Borges Mascarenhas,-0.6,2,1.45,6,"{'CA': 2, 'FC': 2, 'FD': 1, 'FF': 1, 'FS': 4, 'PE': 3, 'RB': 2}",bryan,2,-0.29
422,Gustavo Campanharo,72497,315,https://s.glbimg.com/es/sde/f/2019/03/26/9799555064b37105b45b0acc0e54c2b7_FORMATO.png,4,2.33,Gustavo Campanharo,3.0,4,3.73,6,"{'FC': 4, 'FD': 1, 'FF': 2, 'FS': 2, 'PE': 5, 'RB': 6}",gustavo-campanharo,7,0.09
423,Roberto,71116,315,https://s.glbimg.com/es/sde/f/2018/08/29/ee96b4652f7fe6a58750ecd5d477ee2f_FORMATO.png,0,0.0,Roberto Heuchayer Santos de Araújo,0.0,2,4.0,6,{},roberto,6,0.0
424,Yann Rolim,102892,315,https://s.glbimg.com/es/sde/f/2018/08/01/42e8f3434bff7d6238a0dca11f2239f8_FORMATO.png,0,0.0,Yann Del Pino Rolim,0.0,4,4.0,6,{},yann-rolim,5,0.0
425,Kendy,98421,315,https://s.glbimg.com/es/sde/f/2018/05/24/523e1089d0afe7b92de643fefef0ec55_FORMATO.png,0,0.0,Kendy Tateishi Berbel,0.0,4,2.0,6,{},kendy,6,0.0
426,Tiepo,98412,315,https://s.glbimg.com/es/sde/f/2018/05/24/032ba79a6516fa519217f825972c92b9_FORMATO.png,6,5.25,Giovanni Silva Tiepo,0.4,1,14.85,6,"{'DD': 12, 'DP': 1, 'FS': 2, 'GS': 8, 'PE': 5, 'SG': 1}",tiepo,7,0.25
427,Vini Locatelli,102998,315,https://s.glbimg.com/es/sde/f/2019/04/03/dd414ff9b71a2dad41b8695b82517f67_FORMATO.png,0,0.0,Vinicius Farias Locatelli,0.0,4,1.0,6,{},vini-locatelli,6,0.0
428,Tiago Nunes,98057,293,https://s.glbimg.com/es/sde/f/2019/03/30/f24c484018a5a11e2b67e34f6aa5f99f_FORMATO.png,6,3.35,Tiago Retzlaff Nunes,2.17,6,9.06,6,{},tiago-nunes,7,0.15
429,Tharlis,102997,315,https://s.glbimg.com/es/sde/f/2019/04/18/f819791c50769c7bd2a9f1e7f5a77afa_FORMATO.png,1,2.9,Tharlis Sartori,0.0,4,3.43,6,"{'FC': 2, 'PE': 2, 'RB': 3}",tharlis,6,0.0
430,Vagner Love,38959,264,https://s.glbimg.com/es/sde/f/2019/05/23/baafa063aa2addaba5bf9bcfb361129f_FORMATO.png,6,1.08,Vagner Silva de Souza,1.5,5,4.27,6,"{'CA': 1, 'FC': 8, 'FD': 2, 'FF': 2, 'FS': 7, 'G': 1, 'I': 3, 'PE': 10, 'RB': 1}",vagner-love,6,-0.4
431,Matheus Matias,100430,314,https://s.glbimg.com/es/sde/f/2019/05/03/4950f0f0b7885ba14d08911b25c080c1_FORMATO.png,1,0.0,Matheus Matias Ferreira,0.0,5,2.18,6,"{'FC': 1, 'FS': 1}",matheus-matias,7,0.0
432,Léo Cittadini,70986,293,https://s.glbimg.com/es/sde/f/2019/03/30/475167cdad7e826c64f4a0a999f8aef9_FORMATO.png,3,4.23,Leonardo Cittadini,0.0,4,5.87,6,"{'FC': 6, 'FD': 2, 'FF': 5, 'FS': 6, 'PE': 4, 'RB': 5}",leo-cittadini,6,0.0
433,Jadson,38315,264,https://s.glbimg.com/es/sde/f/2019/05/23/45121fe0ca2edcaff01e4403c67f4d71_FORMATO.png,3,-0.47,Jadson Rodrigues da Silva,0.0,4,4.09,6,"{'A': 1, 'CA': 2, 'FC': 3, 'FF': 2, 'FS': 1, 'PE': 10}",jadson,6,0.0
434,Régis,102999,315,https://s.glbimg.com/es/sde/f/2019/04/18/bad714f682461e54632caf1faf4cc374_FORMATO.png,5,2.04,Régis Tosatti Giacomin,0.0,4,4.34,6,"{'FC': 4, 'FD': 2, 'FF': 3, 'FS': 2, 'I': 1, 'PE': 7, 'RB': 6}",regis,6,0.0
435,Walter,51413,264,https://s.glbimg.com/es/sde/f/2019/05/23/e07f02ef4a79d6525b03ab26a352738b_FORMATO.png,0,0.0,Walter Leandro Capeloza Artune,0.0,1,7.0,6,{},walter,6,0.0
436,Henrique,50856,264,https://s.glbimg.com/es/sde/f/2019/05/23/1e0958bf111e04ccbaa5075e15678a5a_FORMATO.png,3,4.43,Henrique Adriano Buss,4.7,3,7.85,6,"{'FC': 1, 'PE': 4, 'SG': 3}",henrique,6,0.47
