,apelido,atleta_id,clube_id,foto,jogos_num,media_num,nome,pontos_num,posicao_id,preco_num,rodada_id,scout,slug,status_id,variacao_num
0,Leo,71043,293,https://s.glbimg.com/es/sde/f/2018/03/01/5f4bc547ea7572a6909432c0c03d529b_FORMATO.png,0,0.0,Leonardo da Silva Vieira,0,1,3.0,7,,leo,6,0.0
1,Diego Alves,38509,262,https://s.glbimg.com/es/sde/f/2019/04/26/7bdeffe6895011f6895be4a6de311fbe_FORMATO.png,4,2.5,Diego Alves Carreira,0,1,5.26,7,,diego-alves,7,1.06
2,Lucho González,71479,293,https://s.glbimg.com/es/sde/f/2019/03/30/53d81b4d0fe0473120e74c998cbcd3bc_FORMATO.png,3,3.5,Luis Oscar González,0,4,6.41,7,,lucho-gonzalez,6,0.36
3,Rogério,73540,265,https://s.glbimg.com/es/sde/f/2019/02/27/92700f5dfefdb214d227ca999caedfb3_FORMATO.png,5,3.1,José Rogério de Oliveira,0,5,9.47,7,,rogerio,6,0.0
4,Jackson,70934,265,https://s.glbimg.com/es/sde/f/2019/03/29/8e6d89c654da352b89c77cb432a0df14_FORMATO.png,0,0.0,Jackson de Souza,0,3,6.0,7,,jackson,6,0.0
5,Renê,78445,262,https://s.glbimg.com/es/sde/f/2019/04/26/f7f5e18054dd2e487e3f2851ce8e28b7_FORMATO.png,4,3.27,Renê Rodrigues Martins,0,2,7.72,7,,rene,7,0.0
6,Bruno Henrique,90285,262,https://s.glbimg.com/es/sde/f/2019/04/26/195ab3662b5fad11e635fd74d6a2f401_FORMATO.png,6,6.8,Bruno Henrique Pinto,0,5,20.56,7,,bruno-henrique,7,0.0
7,Marco Ruben,73741,293,https://s.glbimg.com/es/sde/f/2019/03/31/f20966ed6b70c83b4d440ca5028a8ee4_FORMATO.png,4,6.35,Marco Gastón Rubén Rodríguez,0,5,16.1,7,,marco-ruben,6,-0.74
8,Pedro Geromel,80853,284,https://s.glbimg.com/es/sde/f/2018/05/21/afc76ea4e9c31e2977ea5e9a90c802b3_FORMATO.png,6,5.48,Pedro Tonon Geromel,0,3,12.07,7,,pedro-geromel,7,-1.99
9,Douglas Friedrich,78584,265,https://s.glbimg.com/es/sde/f/2019/03/29/ef148b9e6c0fb1706902616959184e5b_FORMATO.png,6,6.42,Douglas Alan Schuck Friedrich,0,1,11.13,7,,douglas-friedrich,7,1.71
10,Kannemann,87342,284,https://s.glbimg.com/es/sde/f/2018/05/21/7a4b8f949ed4d8b668d8c40a33e50edb_FORMATO.png,3,3.7,Walter Kannemann,0,3,14.7,7,,kannemann,5,0.0
11,Elton,71719,265,https://s.glbimg.com/es/sde/f/2019/03/29/ba5687c390564e23e74776f29ea757f3_FORMATO.png,6,1.32,Elton Junior Melo Ataíde,0,4,4.67,7,,elton,7,0.11
12,Renato,39572,315,https://s.glbimg.com/es/sde/f/2019/03/28/74aa8332c0e0807706717ee6b2595fa9_FORMATO.png,4,2.55,José Renato da Silva Júnior,0,5,5.74,7,,renato,6,0.0
13,Élber,74140,265,https://s.glbimg.com/es/sde/f/2019/03/29/67d058ae9f531a675de3f44a9bb2735b_FORMATO.png,4,4.25,José Élber Pimentel da Silva,0,4,6.41,7,,elber,7,-0.09
14,Lucas Fonseca,80189,265,https://s.glbimg.com/es/sde/f/2019/03/29/c40c54d7fdca6784ef754a182f9f81d0_FORMATO.png,7,2.6,Lucas Fonseca da Silva,0,3,5.71,7,,lucas-fonseca,7,1.16
15,Moisés,90444,265,https://s.glbimg.com/es/sde/f/2019/02/27/931ddb4d808eb623c3d496fb36bea54e_FORMATO.png,5,4.88,Moisés Roberto Barbosa,0,2,12.37,7,,moises,7,0.88
16,Arthur Caíke,80337,265,https://s.glbimg.com/es/sde/f/2019/02/27/3388dd10ab1c840b939f315bb52195b8_FORMATO.png,5,3.44,Arthur Caíke do Nascimento Cruz,0,5,10.24,7,,arthur-caike,6,-0.15
17,Paulinho,91626,265,https://s.glbimg.com/es/sde/f/2019/03/29/54f523632cff7c65b72a884c01685b2e_FORMATO.png,2,4.35,Paulo Victor da Silva,0,2,4.86,7,,paulinho,6,0.0
