,apelido,atleta_id,clube_id,foto,jogos_num,media_num,nome,pontos_num,posicao_id,preco_num,rodada_id,scout,slug,status_id,variacao_num
583,Jaderson,98224,293,https://s.glbimg.com/es/sde/f/2019/03/30/832c92b15aa34fdde7be9738ca86c863_FORMATO.png,0,0.0,Jaderson Flores dos Reis,0.0,4,1.0,3,{},jaderson,6,0.0
584,Kaique Rocha,103684,277,https://s.glbimg.com/es/sde/f/2018/11/10/74779e57e2c7d94a49870544327e9cb9_FORMATO.png,0,0.0,Kaique Rocha Lima,0.0,3,2.0,3,{},kaique-rocha,6,0.0
585,Tailson,104578,277,https://s.glbimg.com/es/sde/f/2019/01/19/6c43d089fb194a76c0763ff36acb19b5_FORMATO.jpeg,0,0.0,Tailson Pinto Gonçalves,0.0,5,1.0,3,{},tailson,6,0.0
586,Hudson,50324,276,https://s.glbimg.com/es/sde/f/2019/04/01/9e5f146e4b4c3975e459435a5ebde804_FORMATO.png,3,5.1,Hudson Rodrigues dos Santos,1.4,4,11.33,3,"{'FC': 5, 'FD': 1, 'FS': 4, 'G': 1, 'PE': 3, 'RB': 5}",hudson,7,-0.97
587,Bruninho,105111,277,https://s.glbimg.com/es/sde/f/2019/03/01/996ce41379d22585409ba24981f56d01_FORMATO.png,0,0.0,Bruno Henrique Marques Torres,0.0,5,2.0,3,{},bruninho,6,0.0
588,Wagner Leonardo,104994,277,https://s.glbimg.com/es/sde/f/2019/03/28/fafba6bc079831779d2a86df19ebb06e_FORMATO.png,0,0.0,Wagner Leonardo Calvelo de Souza,0.0,3,1.0,3,{},wagner-leonardo,6,0.0
589,Lucas Alves,104651,263,https://s.glbimg.com/es/sde/f/2019/03/28/1ae8c43705f6dfd96f9cdfe68b4b8485_FORMATO.png,0,0.0,Lucas Silva Alves,0.0,1,1.0,3,{},lucas-alves,6,0.0
590,Sandry,104580,277,https://s.glbimg.com/es/sde/f/2019/03/28/9f6c9ff2c355a7189b842849d99b5a32_FORMATO.png,0,0.0,Sandry Roberto Santos Goes,0.0,4,1.0,3,{},sandry,6,0.0
591,Fernando Henrique,37717,354,https://s.glbimg.com/es/sde/f/2019/03/28/7ea4631a70a1da7be84a3480e80a9441_FORMATO.png,0,0.0,Fernando Henrique dos Anjos,0.0,1,4.0,3,{},fernando-henrique,6,0.0
592,Lucas Barros,104650,263,https://s.glbimg.com/es/sde/f/2019/03/28/be4f63d854fc719f9e9072cf24e0d7f3_FORMATO.png,0,0.0,Lucas Barros da Cunha,0.0,2,1.0,3,{},lucas-barros,6,0.0
