match_num,player_name_2,team_name_3,player_status
51,Walter,Atlético - PR,out
51,Andre Lima,Atlético - PR,in
51,Nikao,Atlético - PR,out
51,Marcos Guilherme,Atlético - PR,in
51,Ewandro,Atlético - PR,out
51,Giovanny,Atlético - PR,in
51,Wallyson,Santa Cruz - PE,out
51,Arthur,Santa Cruz - PE,in
51,Joao Paulo,Santa Cruz - PE,out
51,Bruno Moraes,Santa Cruz - PE,in
51,Everaldo,Santa Cruz - PE,out
51,Keno,Santa Cruz - PE,in
52,Willian,Cruzeiro - MG,out
52,Riascos,Cruzeiro - MG,in
52,Robinho,Cruzeiro - MG,out
52,Alisson,Cruzeiro - MG,in
52,De Arrascaeta,Cruzeiro - MG,out
52,Douglas,Cruzeiro - MG,in
52,Bruno,São Paulo - SP,out
52,Auro,São Paulo - SP,in
52,Ytalo,São Paulo - SP,out
52,Luiz,São Paulo - SP,in
52,Centurion,São Paulo - SP,out
52,Lucas,São Paulo - SP,in
53,Hyoran,Chapecoense - SC,out
53,Lourency,Chapecoense - SC,in
53,Moises,Chapecoense - SC,out
53,Andrei Alba,Chapecoense - SC,in
53,Lucas,Chapecoense - SC,out
53,Arthur,Chapecoense - SC,in
53,Richarlison,Fluminense - RJ,out
53,Magno Alves,Fluminense - RJ,in
54,Cristian,Corinthians - SP,out
54,Danilo,Corinthians - SP,in
54,Marlone,Corinthians - SP,out
54,Giovanni Augusto,Corinthians - SP,in
54,Pedro,Corinthians - SP,out
54,Andre,Corinthians - SP,in
54,Cesar Gonzales,Coritiba - PR,out
54,Fabio,Coritiba - PR,in
54,Jose,Coritiba - PR,out
54,Thiago Lopes,Coritiba - PR,in
54,Dodô,Coritiba - PR,out
54,Cesar Benitez,Coritiba - PR,in
55,Leandro Luchese,América - MG,out
55,Claudinei,América - MG,in
55,Borges,América - MG,out
55,Bruno Savio,América - MG,in
55,Helder,América - MG,out
55,Roger,América - MG,in
55,Gustavo Ermel,Figueirense - SC,out
55,Carlos Alberto,Figueirense - SC,in
55,Ferrugem,Figueirense - SC,out
55,Renato,Figueirense - SC,in
55,Bady,Figueirense - SC,out
55,Ortega,Figueirense - SC,in
56,Leo Cittadini,Santos - SP,out
56,Sergio,Santos - SP,in
56,Vitor Bueno,Santos - SP,out
56,Valencia,Santos - SP,in
56,Joel,Santos - SP,out
56,Diogo,Santos - SP,in
56,Gêge,Botafogo - RJ,out
56,Gervasio,Botafogo - RJ,in
56,Anderson Aquino,Botafogo - RJ,out
56,Neilton,Botafogo - RJ,in
56,Lucas Ribamar,Botafogo - RJ,out
56,Sassá,Botafogo - RJ,in
57,Everton,Flamengo - RJ,out
57,Cuellar,Flamengo - RJ,in
57,Alan Patrick,Flamengo - RJ,out
57,Mancuello,Flamengo - RJ,in
57,Felipe Vizeu,Flamengo - RJ,out
57,Marcelo Cirino,Flamengo - RJ,in
57,Dudu,Palmeiras - SP,out
57,Rafael Marques,Palmeiras - SP,in
57,Matheus Sales,Palmeiras - SP,out
57,Luan,Palmeiras - SP,in
57,Roger Guedes,Palmeiras - SP,out
57,Cleiton Xavier,Palmeiras - SP,in
58,Dagoberto,Vitória - BA,out
58,Leandro,Vitória - BA,in
58,Euller,Vitória - BA,out
58,Kanu,Vitória - BA,in
58,Neto,Vitória - BA,out
58,Maicon,Vitória - BA,in
58,Anselmo,Internacional - RS,out
58,Jair,Internacional - RS,in
58,Andrigo,Internacional - RS,out
58,Aylon,Internacional - RS,in
58,Vitinho,Internacional - RS,out
58,Alex,Internacional - RS,in
59,Edmilson dos Santos Silva,Sport - PE,out
59,Tulio de Melo,Sport - PE,in
59,Rene,Sport - PE,out
59,Rodney,Sport - PE,in
59,Everton Felipe,Sport - PE,out
59,R. Lenis,Sport - PE,in
59,Patric,Atlético - MG,out
59,Joao,Atlético - MG,in
59,Carlos Alberto Carvalho,Atlético - MG,out
59,Carlos Eduardo,Atlético - MG,in
59,Robinho,Atlético - MG,out
59,Pablo,Atlético - MG,in
60,Ramiro,Grêmio - RS,out
60,Lincoln,Grêmio - RS,in
60,Douglas,Grêmio - RS,out
60,Bobo,Grêmio - RS,in
60,Everton,Grêmio - RS,out
60,Batista,Grêmio - RS,in
60,Cristian,Ponte Preta - SP,out
60,Nino Paraiba,Ponte Preta - SP,in
60,Rene Junior,Ponte Preta - SP,out
60,Matheus Sousa de Jesus,Ponte Preta - SP,in
60,Rhayner,Ponte Preta - SP,out
60,Gilson,Ponte Preta - SP,in
