team_name_2	wealth_score
Sociedade Esportiva Palmeiras	2,3
Clube de Regatas do Flamengo	1,9
Santos FC	1,9
Grêmio Foot-Ball Porto Alegrense	1,6
Sport Club Corinthians Paulista	1,5
São Paulo Futebol Clube	1,5
Sport Club Internacional	1,2
Cruzeiro Esporte Clube	1,1
Clube Atlético Mineiro	1,0
Fluminense Football Club	0,9
Club de Regatas Vasco da Gama	0,7
Club Athletico Paranaense	0,7
Botafogo de Futebol e Regatas	0,6
Esporte Clube Bahia	0,6
Associação Chapecoense de Futebol	0,6
Ceará Sporting Club	0,4
Goiás Esporte Clube	0,4
Fortaleza Esporte Clube	0,4
Centro Sportivo Alagoano (AL)	0,4
Avaí Futebol Clube (SC)	0,2
