round_num,player_id,player_name,player_nickname,position_id,team_id,G,A,FT,FD,FF,FS,PP,I,PE,SG,DP,DD,RB,GC,CV,CA,GS,FC,total_score,current_price
24,91263,,Jajá,4,262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-0.18
24,88065,,Jorge,2,262,0,0,0,0,0,0,0,0,2,1,0,0,2,0,0,0,0,2,6.8,-0.06
24,68873,,Paulo Victor,1,262,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,11.0,2.14
24,74060,,Luiz Antonio ,4,262,1,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,2,6.5,1.2
24,72491,,Bressan,3,284,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1,0,1,0.6,-0.06
24,72491,,Bressan,3,284,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1,0,1,0.6,-0.06
24,62086,,Pará,2,262,0,0,0,0,0,1,0,1,2,1,0,0,0,0,0,0,0,3,2.9,-0.16
24,84318,,Samir ,3,262,0,0,0,0,2,1,0,0,2,1,0,0,0,0,0,0,0,1,5.8,1.28
24,85586,,Jonas,4,262,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,2,1.8,0.41
24,68958,,Wallace,3,262,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,4.9,0.56
24,69022,,Marcelo Cirino,5,262,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1.9,0.33
24,78578,,Paulinho,5,262,0,0,0,0,1,0,0,0,6,0,0,0,2,0,0,1,0,2,-0.7,-1.55
24,37673,,Alecsandro,5,275,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,-1.6,-1.58
24,37673,,Alecsandro,5,275,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,-1.6,-1.58
24,91714,,Marciel,4,264,0,0,0,0,2,2,0,0,3,0,0,0,2,0,0,0,0,0,4.9,0.87
24,73644,,Ivan,2,294,0,0,0,0,0,1,0,0,5,0,0,0,1,0,0,0,0,2,-0.3,-0.11
24,73644,,Ivan,2,294,0,0,0,0,0,1,0,0,5,0,0,0,1,0,0,0,0,2,-0.3,-0.11
24,77500,,Yago,3,264,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,1,0.3,-0.6
24,38523,,Edílson,2,264,0,0,0,0,1,1,0,0,3,0,0,0,1,0,0,0,0,0,2.0,-0.14
24,37657,,Edu Dracena,3,264,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,-1.6,-1.18
24,56102,,João Paulo,4,294,0,0,0,0,1,1,0,0,3,0,0,0,2,0,0,0,0,0,3.7,1.12
24,56102,,João Paulo,4,294,0,0,0,0,1,1,0,0,3,0,0,0,2,0,0,0,0,0,3.7,1.12
24,71844,,Thiago Galhardo,4,294,0,1,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,1,5.1,0.41
