team_name_2	wealth_score
São Paulo Futebol Clube	2,0
Clube de Regatas do Flamengo	1,8
Clube Atlético Mineiro	1,7
Cruzeiro Esporte Clube	1,6
Sociedade Esportiva Palmeiras	1,4
Grêmio Foot-Ball Porto Alegrense	1,3
Santos FC	1,2
Sport Club Corinthians Paulista	1,1
Club Athletico Paranaense	0,9
Sport Club do Recife	0,9
Esporte Clube Vitória	0,8
Associação Chapecoense de Futebol	0,8
Fluminense Football Club	0,8
Club de Regatas Vasco da Gama	0,8
Esporte Clube Bahia	0,7
Associação Atlética Ponte Preta SP	0,7
Botafogo de Futebol e Regatas	0,6
Coritiba Foot Ball Club	0,6
AC Goianiense (GO)	0,3
Avaí Futebol Clube (SC)	0,1
