,round_num,team_home,team_away,week_day,time,stadium,referee
68,7,Atlético - GO,Avaí - SC,Quarta,19:30,Olímpico Pedro Ludovico - Goiania - GO,Leandro Bizzio Marinho
69,7,Chapecoense - SC,Vasco da Gama - RJ,Quarta,21:45,Arena Condá - Chapeco - SC,Jailson Macedo Freitas
70,8,Fluminense - RJ,Flamengo - RJ,Domingo,16:00,Maracanã - Rio de Janeiro - RJ,Vinicius Goncalves Dias Araujo
71,8,Vasco da Gama - RJ,Avaí - SC,Sábado,19:00,São Januário - Rio de Janeiro - RJ,Rafael Traci
72,8,Santos - SP,Ponte Preta - SP,Sábado,21:00,Pacaembu - Sao Paulo - SP,Igor Junio Benevenuto
73,8,São Paulo - SP,Atlético - MG,Domingo,16:00,Morumbi - Sao Paulo - SP,Braulio da Silva Machado
74,8,Cruzeiro - MG,Grêmio - RS,Segunda,20:00,Mineirão - Belo Horizonte - MG,Raphael Claus
75,8,Coritiba - PR,Corinthians - SP,Domingo,11:00,Couto Pereira - Curitiba - PR,Marcelo de Lima Henrique
76,8,Sport - PE,Vitória - BA,Domingo,19:00,Ilha do Retiro - Recife - PE,Andre Luiz de Freitas Castro
77,8,Bahia - BA,Palmeiras - SP,Domingo,16:00,Arena Fonte Nova - Salvador - BA,Rodolpho Toski Marques
78,8,Atlético - GO,Atlético - PR,Sábado,16:00,Olímpico Pedro Ludovico - Goiania - GO,Bruno Arleu de Araujo
79,8,Chapecoense - SC,Botafogo - RJ,Domingo,16:00,Arena Condá - Chapeco - SC,Marcelo Aparecido R de Souza
80,9,Botafogo - RJ,Vasco da Gama - RJ,Quarta,21:00,Nilton Santos - Rio de Janeiro - RJ,Leandro Pedro Vuaden
81,9,Flamengo - RJ,Chapecoense - SC,Quinta,21:00,Luso Brasileiro - Rio de Janeiro - RJ,Leandro Bizzio Marinho
82,9,Palmeiras - SP,Atlético - GO,Quarta,21:00,Allianz Parque - Sao Paulo - SP,Antonio Dib Moraes de Sousa
83,9,Corinthians - SP,Bahia - BA,Quinta,19:30,Arena Corinthians - Sao Paulo - SP,Dewson Fernando Freitas da Silva
84,9,Atlético - MG,Sport - PE,Quarta,21:45,Independência - Belo Horizonte - MG,Wilton Pereira Sampaio
85,9,Atlético - PR,São Paulo - SP,Quarta,21:45,Arena da Baixada - Curitiba - PR,Wagner do Nascimento Magalhaes
86,9,Grêmio - RS,Coritiba - PR,Quinta,21:00,Arena do Grêmio - Porto Alegre - RS,Pericles Bassols Pegado Cortez
87,9,Vitória - BA,Santos - SP,Quarta,19:30,Manoel Barradas - Salvador - BA,Heber Roberto Lopes
88,9,Ponte Preta - SP,Cruzeiro - MG,Quinta,19:30,Moisés Lucarelli - Campinas - SP,Grazianni Maciel Rocha
89,9,Avaí - SC,Fluminense - RJ,Quarta,21:45,Ressacada - Florianopolis - SC,Marielson Alves Silva
90,10,Botafogo - RJ,Avaí - SC,Segunda,20:00,Nilton Santos - Rio de Janeiro - RJ,Caio Max Augusto Vieira
91,10,Vasco da Gama - RJ,Atlético - GO,Domingo,11:00,São Januário - Rio de Janeiro - RJ,Dyorgines Jose Padovani de Andrade
92,10,Santos - SP,Sport - PE,Sábado,19:00,Vila Belmiro - Santos - SP,Rafael Traci
93,10,São Paulo - SP,Fluminense - RJ,Domingo,16:00,Morumbi - Sao Paulo - SP,Anderson Daronco
94,10,Cruzeiro - MG,Coritiba - PR,Domingo,16:00,Mineirão - Belo Horizonte - MG,Marcelo Aparecido R de Souza
95,10,Atlético - PR,Vitória - BA,Domingo,16:00,Arena da Baixada - Curitiba - PR,Rodrigo Batista Raposo
96,10,Grêmio - RS,Corinthians - SP,Domingo,16:00,Arena do Grêmio - Porto Alegre - RS,Wilton Pereira Sampaio
97,10,Bahia - BA,Flamengo - RJ,Domingo,18:30,Arena Fonte Nova - Salvador - BA,Igor Junio Benevenuto
