match_num,round_num,team_home,team_away,week_day,time,stadium,referee_name
1,1,Palmeiras - SP,Atlético - PR,Sábado,16:00,Allianz Parque - Sao Paulo - SP,bruno_arleu_de_araujo
2,1,Flamengo - RJ,Sport - PE,Sábado,16:00,Raulino de Oliveira - Volta Redonda - RJ,marcelo_aparecido_r_de_souza
3,1,Atlético - MG,Santos - SP,Sábado,18:30,Independência - Belo Horizonte - MG,jailson_macedo_freitas
4,1,Coritiba - PR,Cruzeiro - MG,Sábado,21:00,Couto Pereira - Curitiba - PR,jean_pierre_goncalves_lima
5,1,Botafogo - RJ,São Paulo - SP,Domingo,11:00,Raulino de Oliveira - Volta Redonda - RJ,braulio_da_silva_machado
6,1,Santa Cruz - PE,Vitória - BA,Domingo,11:00,Arruda - Recife - PE,pablo_dos_santos_alves
7,1,Corinthians - SP,Grêmio - RS,Domingo,16:00,Arena Corinthians - Sao Paulo - SP,wilton_pereira_sampaio
8,1,Figueirense - SC,Ponte Preta - SP,Domingo,16:00,Orlando Scarpelli - Florianopolis - SC,emerson_de_almeida_ferreira
9,1,América - MG,Fluminense - RJ,Domingo,16:00,Independência - Belo Horizonte - MG,thiago_duarte_peixoto
10,1,Internacional - RS,Chapecoense - SC,Domingo,18:30,Beira Rio - Porto Alegre - RS,nielson_nogueira_dias
11,2,Vitória - BA,Corinthians - SP,Domingo,16:00,Manoel Barradas - Salvador - BA,heber_roberto_lopes
12,2,Fluminense - RJ,Santa Cruz - PE,Sábado,18:30,Raulino de Oliveira - Volta Redonda - RJ,jailson_macedo_freitas
13,2,Cruzeiro - MG,Figueirense - SC,Sábado,21:00,Mineirão - Belo Horizonte - MG,wagner_reway
14,2,Santos - SP,Coritiba - PR,Domingo,11:00,Vila Belmiro - Santos - SP,ricardo_marques_ribeiro
15,2,Atlético - PR,Atlético - MG,Domingo,11:00,Arena da Baixada - Curitiba - PR,flavio_rodrigues_de_souza
16,2,Chapecoense - SC,América - MG,Domingo,16:00,Arena Condá - Chapeco - SC,eduardo_tomaz_de_aquino_valadao
17,2,São Paulo - SP,Internacional - RS,Domingo,16:00,Morumbi - Sao Paulo - SP,pericles_bassols_pegado_cortez
18,2,Grêmio - RS,Flamengo - RJ,Domingo,16:00,Arena do Grêmio - Porto Alegre - RS,luiz_flavio_de_oliveira
19,2,Ponte Preta - SP,Palmeiras - SP,Sábado,16:00,Moisés Lucarelli - Campinas - SP,leandro_pedro_vuaden
20,2,Sport - PE,Botafogo - RJ,Domingo,18:30,Ilha do Retiro - Recife - PE,vinicius_furlan
21,3,Botafogo - RJ,Atlético - PR,Quarta,19:30,Mário Helênio - Juiz de Fora - MG,dewson_fernando_freitas_da_silva
22,3,Flamengo - RJ,Chapecoense - SC,Quarta,21:00,Raulino de Oliveira - Volta Redonda - RJ,diego_almeida_real
23,3,Figueirense - SC,Santos - SP,Quarta,19:30,Orlando Scarpelli - Florianopolis - SC,wagner_do_nascimento_magalhaes
24,3,América - MG,Vitória - BA,Quarta,21:00,Independência - Belo Horizonte - MG,gilberto_rodrigues_castro_junior
25,3,Santa Cruz - PE,Cruzeiro - MG,Quarta,21:45,Arruda - Recife - PE,anderson_daronco
