match_num,player_name_2,player_team,player_status
301,Everton,Flamengo - RJ,out
301,Paulinho,Flamengo - RJ,in
301,Emerson Sheik,Flamengo - RJ,out
301,Gabriel,Flamengo - RJ,in
301,Hector,Flamengo - RJ,out
301,Kayke,Flamengo - RJ,in
301,Alex,Internacional - RS,out
301,Dalessandro,Internacional - RS,in
301,Nilton,Internacional - RS,out
301,Wellington,Internacional - RS,in
301,Anderson,Internacional - RS,out
301,Vitinho,Internacional - RS,in
302,Borges,Ponte Preta - SP,out
302,Alexandro,Ponte Preta - SP,in
302,Felipe Azevedo,Ponte Preta - SP,out
302,Diego,Ponte Preta - SP,in
302,Cristian,Ponte Preta - SP,out
302,Clayson,Ponte Preta - SP,in
302,Lucio Flavio,Coritiba - PR,out
302,Ruy,Coritiba - PR,in
302,Leandro,Coritiba - PR,out
302,Ivan,Coritiba - PR,in
302,Alan Santos,Coritiba - PR,out
302,Rafhael Lucas,Coritiba - PR,in
303,Ricardo Bueno,Joinville - SC,out
303,Willian Popp,Joinville - SC,in
303,Marion,Joinville - SC,out
303,Edigar Junio,Joinville - SC,in
303,Lucas Crispim,Joinville - SC,out
303,Yuri,Joinville - SC,in
303,Joao Vitor,Figueirense - SC,out
303,Thiago Santana,Figueirense - SC,in
303,Yago Felipe,Figueirense - SC,out
303,Rafael Bastos,Figueirense - SC,in
303,Dudu,Figueirense - SC,out
303,Marcao,Figueirense - SC,in
304,Renato,Santos - SP,out
304,Ledesma,Santos - SP,in
304,Lucas Lima,Santos - SP,out
304,Vitor Bueno,Santos - SP,in
304,Weverson,Santos - SP,out
304,Gigio,Santos - SP,in
304,Juliano,Goiás - GO,out
304,Rafael,Goiás - GO,in
304,Felipe,Goiás - GO,out
304,Arthur,Goiás - GO,in
304,Erik,Goiás - GO,out
304,Lucas,Goiás - GO,in
305,Bobo,Grêmio - RS,out
305,Pedro Rocha,Grêmio - RS,in
305,Maicon,Grêmio - RS,out
305,Braian Rodriguez,Grêmio - RS,in
305,Luan,Grêmio - RS,out
305,Yuri Mamute,Grêmio - RS,in
305,Silvio,Chapecoense - SC,out
305,Nivaldo,Chapecoense - SC,in
305,Elicarlos,Chapecoense - SC,out
305,Gil,Chapecoense - SC,in
305,Camilo,Chapecoense - SC,out
305,Wanderson,Chapecoense - SC,in
306,Henrique,Cruzeiro - MG,out
306,Charles,Cruzeiro - MG,in
306,De Arrascaeta,Cruzeiro - MG,out
306,Leandro Damiao,Cruzeiro - MG,in
306,Allano,Cruzeiro - MG,out
306,Marcos Vinicius,Cruzeiro - MG,in
306,Marlon,Fluminense - RJ,out
306,Victor Oliveira,Fluminense - RJ,in
306,Gerson,Fluminense - RJ,out
306,Osvaldo,Fluminense - RJ,in
306,Marcos Jr,Fluminense - RJ,out
306,Vinicius,Fluminense - RJ,in
307,Bruno,Atlético - PR,out
307,Douglas,Atlético - PR,in
307,Hernani,Atlético - PR,out
307,Bruno Pereirinha,Atlético - PR,in
307,Ewandro,Atlético - PR,out
307,Hernandez,Atlético - PR,in
307,Vagner Love,Corinthians - SP,out
307,Lincon,Corinthians - SP,in
307,Elias,Corinthians - SP,out
307,Cristian,Corinthians - SP,in
307,Renato Augusto,Corinthians - SP,out
307,Rodriguinho,Corinthians - SP,in
308,Durval,Sport - PE,out
308,Ewerton,Sport - PE,in
308,Elber,Sport - PE,out
308,Maikon,Sport - PE,in
308,Ronaldo,Sport - PE,out
308,M. Galdezani,Sport - PE,in
308,Giovanni Augusto,Atlético - MG,out
308,Cardenas,Atlético - MG,in
308,Douglas Santos,Atlético - MG,out
308,Josue,Atlético - MG,in
308,Lucas Pratto,Atlético - MG,out
308,Thiago Ribeiro,Atlético - MG,in
309,Luis Fabiano,São Paulo - SP,out
309,Alan Kardec,São Paulo - SP,in
309,Alexandre Pato,São Paulo - SP,out
309,Centurion,São Paulo - SP,in
309,Rogerio,São Paulo - SP,out
309,Reinaldo,São Paulo - SP,in
309,Jorge Henrique,Vasco da Gama - RJ,out
309,Rafael Silva,Vasco da Gama - RJ,in
309,Leandrao,Vasco da Gama - RJ,out
309,Herrera,Vasco da Gama - RJ,in
309,Julio dos Santos,Vasco da Gama - RJ,out
309,Diguinho,Vasco da Gama - RJ,in
310,Leonardo,Avaí - SC,out
310,Romulo,Avaí - SC,in
310,Marquinhos,Avaí - SC,out
310,Camacho,Avaí - SC,in
310,Adriano,Avaí - SC,out
310,Roberto,Avaí - SC,in
310,Andrei,Palmeiras - SP,out
310,Amaral,Palmeiras - SP,in
310,Pablo Nicolas Mouche,Palmeiras - SP,out
310,Dudu,Palmeiras - SP,in
310,Allione,Palmeiras - SP,out
310,Rafael Marques,Palmeiras - SP,in
