match_num,player_name_2,team_name_3,player_status
221,Bruno,São Paulo - SP,out
221,Auro,São Paulo - SP,in
221,Rogerio,São Paulo - SP,out
221,João Schmidt,São Paulo - SP,in
221,Wilder,São Paulo - SP,out
221,Matheus Reis,São Paulo - SP,in
221,Eduardo Sasha,Internacional - RS,out
221,Anderson,Internacional - RS,in
221,Geferson,Internacional - RS,out
221,Artur,Internacional - RS,in
221,Lisandro Lopez,Internacional - RS,out
221,Taiberson,Internacional - RS,in
222,Julio dos Santos,Vasco da Gama - RJ,out
222,Andrezinho,Vasco da Gama - RJ,in
222,Lucas Siqueira,Vasco da Gama - RJ,out
222,Seymour,Vasco da Gama - RJ,in
222,Jorge Henrique,Vasco da Gama - RJ,out
222,Rafael Silva,Vasco da Gama - RJ,in
222,Thiago Ribeiro,Atlético - MG,out
222,Cardenas,Atlético - MG,in
222,Giovanni Augusto,Atlético - MG,out
222,Dodo,Atlético - MG,in
223,Deivid,Atlético - PR,out
223,Ewandro,Atlético - PR,in
223,Wellington Silva,Atlético - PR,out
223,Crysan,Atlético - PR,in
223,Hernandez,Atlético - PR,out
223,Guilherme,Atlético - PR,in
223,Marcelinho Paraiba,Joinville - SC,out
223,Fernando Viana,Joinville - SC,in
223,Kempes,Joinville - SC,out
223,Domingues,Joinville - SC,in
223,Lucas Crispim,Joinville - SC,out
223,Juninho,Joinville - SC,in
224,Vinicius Araujo,Cruzeiro - MG,out
224,Marinho,Cruzeiro - MG,in
224,Allano,Cruzeiro - MG,out
224,Marquinhos,Cruzeiro - MG,in
224,Para,Cruzeiro - MG,out
224,Fabricio,Cruzeiro - MG,in
224,Rafael Bastos,Figueirense - SC,out
224,Yago Felipe,Figueirense - SC,in
224,Thiago Santana,Figueirense - SC,out
224,Juninho,Figueirense - SC,in
224,Clayton,Figueirense - SC,out
224,Elias,Figueirense - SC,in
225,Camilo,Chapecoense - SC,out
225,Tulio de Melo,Chapecoense - SC,in
225,Tiago Luis,Chapecoense - SC,out
225,Flavinho,Chapecoense - SC,in
225,Bruno Silva,Chapecoense - SC,out
225,Maranhão,Chapecoense - SC,in
225,Felipe Azevedo,Ponte Preta - SP,out
225,Bady,Ponte Preta - SP,in
225,Diego,Ponte Preta - SP,out
225,Fabio,Ponte Preta - SP,in
225,Cesar,Ponte Preta - SP,out
225,Clayson,Ponte Preta - SP,in
226,Alecsandro,Palmeiras - SP,out
226,Cristaldo,Palmeiras - SP,in
226,Robinho,Palmeiras - SP,out
226,Joao Paulo,Palmeiras - SP,in
226,Dudu,Palmeiras - SP,out
226,Allione,Palmeiras - SP,in
226,Ralf,Corinthians - SP,out
226,Danilo,Corinthians - SP,in
226,Malcom,Corinthians - SP,out
226,Rildo,Corinthians - SP,in
226,Marciel,Corinthians - SP,out
226,Cristian,Corinthians - SP,in
227,Pierre,Fluminense - RJ,out
227,Marcos Jr,Fluminense - RJ,in
227,Osvaldo,Fluminense - RJ,out
227,Gerson,Fluminense - RJ,in
227,Michael,Fluminense - RJ,out
227,Wellington Paulista,Fluminense - RJ,in
227,Marcio Araujo,Flamengo - RJ,out
227,Jonas,Flamengo - RJ,in
227,Wallace Reis,Flamengo - RJ,out
227,Cesar,Flamengo - RJ,in
227,Pablo Armero,Flamengo - RJ,out
227,Paulinho,Flamengo - RJ,in
228,Maicon,Grêmio - RS,out
228,Willian Schuster,Grêmio - RS,in
228,Lucas Ramon,Grêmio - RS,out
228,Yuri Mamute,Grêmio - RS,in
228,Everton,Grêmio - RS,out
228,Moises,Grêmio - RS,in
228,David França,Goiás - GO,out
228,Ygor,Goiás - GO,in
228,Erik,Goiás - GO,out
228,Alex Alves,Goiás - GO,in
228,Patrick,Goiás - GO,out
228,Murilo,Goiás - GO,in
229,Tinga,Avaí - SC,out
229,Andre Lima,Avaí - SC,in
229,Marquinhos,Avaí - SC,out
229,Anderson,Avaí - SC,in
229,Romulo,Avaí - SC,out
229,Roberto,Avaí - SC,in
229,Thiago Lopes,Coritiba - PR,out
229,Thiago,Coritiba - PR,in
229,Jose,Coritiba - PR,out
229,Luccas Claro,Coritiba - PR,in
229,G. Parede,Coritiba - PR,out
229,Marcos Aurelio,Coritiba - PR,in
230,Maikon,Sport - PE,out
230,Samuel,Sport - PE,in
230,Diego Souza,Sport - PE,out
230,Hernane,Sport - PE,in
230,Wendel,Sport - PE,out
230,Regis,Sport - PE,in
230,Rafael Longuine,Santos - SP,out
230,Sergio,Santos - SP,in
230,Marquinhos Gabriel,Santos - SP,out
230,Neto Berola,Santos - SP,in
230,Gabriel B.,Santos - SP,out
230,Weverson,Santos - SP,in
