team_name_2	wealth_score
São Paulo Futebol Clube	2,8
Sociedade Esportiva Palmeiras	1,9
Cruzeiro Esporte Clube	1,9
Sport Club Internacional	1,8
Clube Atlético Mineiro	1,7
Sport Club Corinthians Paulista	1,7
Fluminense Football Club	1,7
Clube de Regatas do Flamengo	1,1
Grêmio Foot-Ball Porto Alegrense	1,0
Santos FC	0,8
Sport Club do Recife	0,7
Club de Regatas Vasco da Gama	0,6
Coritiba Foot Ball Club	0,5
Club Athletico Paranaense	0,4
Figueirense Futebol Clube	0,4
Avaí Futebol Clube (SC)	0,3
Associação Atlética Ponte Preta SP	0,2
Goiás Esporte Clube	0,2
Associação Chapecoense de Futebol	0,2
Joinville EC (SC)	0,1
