round_num,player_id,player_name,player_nickname,position,team_id,G,A,FT,FD,FF,FS,PP,I,PE,SG,DP,DD,RB,GC,CV,CA,GS,FC,total_score,current_price
35,38763,,Marcinho,MEI,287,0,0,0,1,0,1,0,0,4,0,0,0,0,0,0,0,0,3,-1.2,6.16
35,68711,,Chiquinho,MEI,266,0,0,0,1,0,0,0,0,4,0,0,0,2,0,0,0,0,0,3.2,6.12
35,80189,,Lucas Fonseca,ZAG,265,0,0,0,0,0,4,0,0,2,1,0,0,1,0,0,0,0,1,7.6,6.08
35,37762,,Souza,ATA,288,0,0,1,0,0,1,0,0,3,0,0,0,1,0,0,1,0,5,0.3,6.03
35,53472,,Fahel,MEI,265,0,0,0,1,0,2,0,0,1,0,0,0,3,0,0,0,0,2,5.8,5.97
35,62009,,Camilo,MEI,315,1,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,0,2,11.2,5.97
35,89342,,Caju,LAT,277,0,0,0,0,0,1,0,0,5,0,0,0,4,0,0,0,0,1,5.3,5.94
35,80583,,Lucas Lima,MEI,277,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0.6,5.91
35,50361,,Rafael Lima,ZAG,315,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,-6.3,5.87
35,78715,,Ramiro,MEI,284,0,0,0,1,0,3,0,0,4,0,0,0,2,0,0,0,0,0,4.7,5.86
35,38525,,Cléo,ATA,293,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0.2,5.84
35,84791,,Kenedy,ATA,266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,3.51
35,38067,,Danilo,MEI,264,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,-2.2,3.45
35,68808,,Nino Paraíba,LAT,287,0,0,0,0,0,4,0,0,8,0,0,0,1,0,0,1,0,1,-1.2,3.4
35,70944,,Bruno Henrique,MEI,264,0,0,0,0,0,1,0,0,2,0,0,0,2,0,0,0,0,2,2.3,3.4
35,38507,,Rafael Miranda,MEI,265,0,0,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,2,1.4,3.34
35,50353,,Titi,ZAG,265,0,0,0,0,0,0,0,0,2,1,0,0,4,0,0,0,0,1,10.7,11.22
35,38311,,Márcio Araújo,MEI,262,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,1.6,10.93
35,62137,,Enderson Moreira,TEC,277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.14,10.86
35,61135,,Ananias,ATA,292,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.0,10.76
35,41327,,Vanderlei Luxemburgo,TEC,262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.48,10.75
35,60825,,Felipe Azevedo,ATA,292,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1,-0.4,10.67
35,42116,,Willian,ATA,283,0,0,0,1,1,4,0,1,1,0,0,0,1,0,0,0,0,3,3.1,10.55
35,72023,,Sueliton,LAT,293,0,0,0,0,0,1,0,0,4,0,0,0,2,0,0,1,0,3,-0.8,10.36
35,68920,,Dudu,ATA,284,0,0,0,0,0,10,0,1,3,0,0,0,1,0,0,0,0,0,5.3,10.33
35,73465,,Luccas Claro,ZAG,294,1,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,1,7.1,9.8
35,69018,,Deivid,MEI,293,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,7.3,9.62
35,79594,,Ednei,LAT,315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,9.61
35,80853,,Pedro Geromel,ZAG,284,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,1,0,3,-2.7,9.44
35,62128,,Walter,ATA,266,0,0,0,0,0,1,0,0,8,0,0,0,2,0,0,0,0,0,1.5,9.32
35,81150,,Mayke,LAT,283,0,1,0,0,0,0,0,0,2,0,0,0,2,0,0,1,0,1,5.3,9.29
35,62139,,Ricardo Drubscky,TEC,290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.68,9.28
35,73317,,Argel Fucks,TEC,316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.46,9.16
35,62119,,Tiago Luis,ATA,315,0,1,0,0,1,2,0,0,3,0,0,0,1,0,0,0,0,0,7.5,9.11
35,79887,,Fabiano,LAT,315,0,1,0,1,0,0,0,0,4,0,0,0,2,0,0,0,0,3,6.7,9.04
35,88782,,Andrew,ATA,288,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,-0.2,0.81
35,78500,,Sérgio Manoel,MEI,294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,3.29
35,80036,,Alex Alves,ZAG,290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,3.27
35,69138,,Pablo,ATA,316,0,0,0,1,1,2,0,0,4,0,0,0,1,0,0,0,0,2,2.2,3.25
35,84761,,Claudinei Oliveira,TEC,293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.38,3.23
35,86759,,Luan,ATA,284,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,3,-1.9,3.11
35,60948,,Diones,MEI,315,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,-1.8,3.09
35,84927,,Dodô,MEI,282,1,0,0,0,1,1,0,1,2,0,0,0,0,0,0,0,0,1,7.6,3.06
35,50459,,Léo,ZAG,283,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,4.8,7.87
35,86859,,José Welison,MEI,287,0,0,0,0,1,2,0,0,6,0,0,0,1,0,0,1,0,2,-1.4,7.86
35,63283,,Esquerdinha,LAT,290,0,0,0,0,0,2,0,0,4,0,0,0,3,0,0,0,0,0,4.9,7.75
35,84848,,Erik,ATA,290,0,0,0,0,0,3,0,1,5,0,0,0,1,0,0,0,0,3,-0.3,7.69
35,74065,,Zeballos,ATA,263,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.4,7.48
35,78968,,Leandro,ATA,315,1,1,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,2,12.6,7.43
35,68930,,Kieza,ATA,265,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.0,7.29
35,73910,,Tobio,ZAG,275,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.7,7.27
35,72079,,Bruno Cortez,LAT,288,0,0,0,0,0,4,0,0,3,0,0,0,3,0,0,1,0,2,3.2,7.24
35,63058,,Willian Farias,MEI,283,0,0,0,0,0,2,0,0,3,0,0,0,3,0,0,1,0,3,1.7,2.03
35,37705,,Juan,LAT,287,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0.7,5.83
35,63005,,Welinton,ZAG,294,0,0,0,0,0,1,0,0,5,0,0,0,2,0,0,0,0,0,2.4,5.83
35,68872,,Marcelo Lomba,GOL,265,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5.0,5.78
