round_num,player_id,player_name,player_nickname,position_id,team_id,G,A,FT,FD,FF,FS,PP,I,PE,SG,DP,DD,RB,GC,CV,CA,GS,FC,total_score,current_price
34,51683,,Bruno Rangel,5,315,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.5,6.23
34,37783,,Ramon,4,290,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,-0.6,6.2
34,70111,,Guilherme Mattis,3,266,0,0,0,0,1,2,0,0,2,1,0,0,2,0,0,0,0,2,8.5,6.08
34,68711,,Chiquinho,4,266,0,0,0,0,0,1,0,0,4,0,0,0,2,0,0,0,0,1,2.2,5.94
34,73515,,Gabriel,4,262,0,1,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,4.0,5.83
34,37762,,Souza,5,288,0,0,0,0,1,0,0,2,3,0,0,0,0,0,0,0,0,1,-1.7,5.76
34,68698,,Bruno Silva,4,315,0,0,0,0,0,1,0,0,4,0,0,0,6,0,0,0,0,4,7.5,5.75
34,80036,,Alex Alves,3,290,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1.7,3.56
34,38357,,Martinez,4,288,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,1,0,1,0.0,3.47
34,38507,,Rafael Miranda,4,265,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,2.2,3.46
34,86759,,Luan,5,284,0,0,0,1,2,1,0,0,1,0,0,0,0,0,0,1,0,2,-0.4,3.41
34,50417,,Valencia,4,266,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0.7,3.39
34,60948,,Diones,4,315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.5,3.37
34,38032,,Cleber Santana,4,288,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,1,0,1,-2.7,3.36
34,86264,,Natanael,2,293,0,0,0,0,0,3,0,0,2,0,0,0,5,0,0,0,0,0,9.4,11.17
