round_num,player_id,player_name,player_nickname,position,team_id,G,A,FT,FD,FF,FS,PP,I,PE,SG,DP,DD,RB,GC,CV,CA,GS,FC,total_score,current_price,price_delta
32,36522,,Alex,MEI,294,1,0,0,0,1,4,0,0,2,0,0,0,0,0,0,0,0,0,10.1,18.55,1.7
32,36790,,Josué,MEI,282,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,3,-3.8,8.89,-1.67
32,36934,,Muricy Ramalho,TEC,276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.76,17.18,-0.54
32,37246,,Ney Franco,TEC,287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,7.86,-0.89
32,37281,,Mano Menezes,TEC,264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.66,15.54,0.39
32,37306,,Gilson Kleina,TEC,265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.09,8.22,0.15
32,37592,,Toninho Cecílio,TEC,288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.96,6.52,0.23
32,37607,,Michel Bastos,LAT,276,0,1,0,1,1,1,0,0,3,0,0,0,2,0,0,0,0,4,7.7,8.17,-2.26
32,37613,,Dagoberto,ATA,283,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,-0.6,13.21,-1.61
32,37621,,Junior Cesar,LAT,263,0,0,0,0,0,4,0,0,4,0,0,0,1,0,0,1,0,2,-0.5,4.12,-0.03
32,37627,,Diguinho,MEI,266,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,-1.1,9.08,-0.73
32,37652,,Carlos Alberto,MEI,263,0,0,0,0,0,4,0,2,4,0,0,0,0,0,0,0,0,1,-0.7,6.9,-0.64
32,37653,,Nilmar,ATA,285,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,-0.3,10.04,-1.79
32,37654,,Rosinei,MEI,294,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,-0.1,3.54,-0.27
32,37656,,Fábio,GOL,283,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1.0,12.23,0.02
32,37657,,Edu Dracena,ZAG,277,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1.0,10.47,-0.04
32,37674,,Wagner,MEI,266,0,0,0,1,0,3,0,0,2,0,0,0,0,0,0,0,0,0,1.9,13.65,-1.39
32,37678,,Rodrigo Souto,MEI,263,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,-1.1,0.98,-0.36
32,37694,,Henrique,MEI,283,0,0,0,0,0,0,0,0,4,0,0,0,2,0,0,0,0,1,1.7,6.08,0.5
32,37701,,Léo Moura,LAT,262,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,2.2,10.35,-0.89
32,37705,,Juan,LAT,287,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,2,0.4,5.68,0.11
32,37718,,Arouca,MEI,277,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,2,3.9,15.98,0.29
32,37762,,Souza,ATA,288,1,0,0,1,0,1,0,4,4,0,0,0,0,0,0,0,0,1,5.8,7.01,0.88
32,37770,,Marcelo Grohe,GOL,284,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,7.7,21.19,0.75
